Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
2016,0,0.00302,0.00301,0.14,100000,301,99742,8288562,82.89
2016,1,0.00027,0.00027,0.5,99699,26,99686,8188820,82.14
2016,2,0.00014,0.00014,0.5,99672,14,99665,8089135,81.16
2016,3,0.00012,0.00012,0.5,99658,12,99652,7989469,80.17
2016,4,0.00011,0.00011,0.5,99646,11,99641,7889817,79.18
2016,5,0.00009,0.00009,0.5,99636,9,99631,7790176,78.19
2016,6,0.00007,0.00007,0.5,99627,7,99623,7690545,77.19
2016,7,0.00007,0.00007,0.5,99620,7,99616,7590922,76.2
2016,8,0.00005,0.00005,0.5,99613,5,99610,7491306,75.2
2016,9,0.00007,0.00007,0.5,99608,7,99604,7391695,74.21
2016,10,0.00005,0.00005,0.5,99601,5,99598,7292091,73.21
2016,11,0.00006,0.00006,0.5,99596,6,99593,7192493,72.22
2016,12,0.00008,0.00008,0.5,99589,8,99585,7092900,71.22
2016,13,0.00011,0.00011,0.5,99581,11,99576,6993315,70.23
2016,14,0.00012,0.00012,0.5,99570,12,99564,6893740,69.24
2016,15,0.00013,0.00013,0.5,99558,13,99551,6794176,68.24
2016,16,0.00024,0.00024,0.5,99545,23,99533,6694624,67.25
2016,17,0.00031,0.00031,0.5,99521,31,99506,6595091,66.27
2016,18,0.00035,0.00035,0.5,99491,35,99473,6495585,65.29
2016,19,0.00033,0.00033,0.5,99456,32,99440,6396112,64.31
2016,20,0.00042,0.00042,0.5,99424,42,99402,6296672,63.33
2016,21,0.00035,0.00035,0.5,99381,35,99364,6197270,62.36
2016,22,0.00048,0.00048,0.5,99346,47,99323,6097906,61.38
2016,23,0.00044,0.00044,0.5,99299,43,99277,5998583,60.41
2016,24,0.00044,0.00044,0.5,99256,44,99234,5899306,59.44
2016,25,0.00049,0.00049,0.5,99212,48,99188,5800072,58.46
2016,26,0.00041,0.00041,0.5,99164,40,99144,5700884,57.49
2016,27,0.00051,0.00051,0.5,99123,51,99098,5601741,56.51
2016,28,0.00047,0.00047,0.5,99073,46,99050,5502643,55.54
2016,29,0.0005,0.0005,0.5,99027,50,99002,5403593,54.57
2016,30,0.00063,0.00063,0.5,98977,62,98946,5304591,53.59
2016,31,0.00058,0.00058,0.5,98915,57,98886,5205645,52.63
2016,32,0.00061,0.00061,0.5,98858,60,98827,5106759,51.66
2016,33,0.00061,0.00061,0.5,98797,60,98767,5007932,50.69
2016,34,0.00076,0.00076,0.5,98737,75,98700,4909164,49.72
2016,35,0.00078,0.00078,0.5,98662,77,98623,4810465,48.76
2016,36,0.00077,0.00077,0.5,98585,76,98547,4711841,47.79
2016,37,0.00092,0.00092,0.5,98509,91,98464,4613294,46.83
2016,38,0.00087,0.00087,0.5,98418,86,98376,4514831,45.87
2016,39,0.0009,0.0009,0.5,98333,89,98288,4416455,44.91
2016,40,0.00106,0.00105,0.5,98244,104,98192,4318167,43.95
2016,41,0.00116,0.00116,0.5,98140,113,98084,4219974,43
2016,42,0.00123,0.00122,0.5,98027,120,97967,4121891,42.05
2016,43,0.00135,0.00135,0.5,97907,132,97841,4023924,41.1
2016,44,0.00146,0.00146,0.5,97775,143,97704,3926083,40.15
2016,45,0.00154,0.00154,0.5,97632,151,97557,3828379,39.21
2016,46,0.00169,0.00169,0.5,97481,165,97399,3730822,38.27
2016,47,0.00171,0.00171,0.5,97317,166,97234,3633423,37.34
2016,48,0.00201,0.00201,0.5,97150,195,97053,3536190,36.4
2016,49,0.00207,0.00207,0.5,96955,201,96855,3439137,35.47
2016,50,0.00211,0.0021,0.5,96754,204,96652,3342282,34.54
2016,51,0.00254,0.00254,0.5,96551,245,96428,3245630,33.62
2016,52,0.00262,0.00262,0.5,96305,252,96179,3149202,32.7
2016,53,0.00295,0.00295,0.5,96053,283,95912,3053023,31.78
2016,54,0.00325,0.00325,0.5,95770,311,95615,2957111,30.88
2016,55,0.00343,0.00342,0.5,95459,326,95296,2861496,29.98
2016,56,0.00369,0.00368,0.5,95133,351,94957,2766200,29.08
2016,57,0.00395,0.00394,0.5,94782,373,94596,2671242,28.18
2016,58,0.00428,0.00427,0.5,94409,404,94207,2576647,27.29
2016,59,0.00472,0.00471,0.5,94005,442,93784,2482440,26.41
2016,60,0.00524,0.00522,0.5,93563,489,93319,2388656,25.53
2016,61,0.00555,0.00553,0.5,93074,515,92817,2295337,24.66
2016,62,0.0058,0.00578,0.5,92559,535,92292,2202520,23.8
2016,63,0.00647,0.00645,0.5,92024,594,91727,2110229,22.93
2016,64,0.00697,0.00695,0.5,91430,635,91113,2018502,22.08
2016,65,0.0076,0.00758,0.5,90795,688,90451,1927389,21.23
2016,66,0.00829,0.00826,0.5,90107,744,89735,1836938,20.39
2016,67,0.00898,0.00894,0.5,89363,799,88964,1747202,19.55
2016,68,0.00998,0.00993,0.5,88564,880,88124,1658239,18.72
2016,69,0.0117,0.01164,0.5,87684,1020,87174,1570115,17.91
2016,70,0.0124,0.01232,0.5,86664,1068,86130,1482941,17.11
2016,71,0.01359,0.0135,0.5,85596,1155,85018,1396811,16.32
2016,72,0.01526,0.01514,0.5,84441,1279,83802,1311792,15.54
2016,73,0.01751,0.01735,0.5,83162,1443,82441,1227991,14.77
2016,74,0.01948,0.01929,0.5,81719,1576,80931,1145550,14.02
2016,75,0.02155,0.02132,0.5,80143,1709,79288,1064619,13.28
2016,76,0.0239,0.02362,0.5,78434,1853,77507,985331,12.56
2016,77,0.02663,0.02628,0.5,76581,2013,75575,907824,11.85
2016,78,0.03076,0.0303,0.5,74568,2259,73438,832250,11.16
2016,79,0.0339,0.03334,0.5,72309,2411,71104,758811,10.49
2016,80,0.03903,0.03829,0.5,69898,2676,68560,687708,9.84
2016,81,0.04515,0.04415,0.5,67222,2968,65738,619147,9.21
2016,82,0.05097,0.0497,0.5,64254,3194,62657,553409,8.61
2016,83,0.05548,0.05398,0.5,61060,3296,59412,490752,8.04
2016,84,0.06649,0.06435,0.5,57764,3717,55906,431340,7.47
2016,85,0.07465,0.07196,0.5,54047,3889,52103,375434,6.95
2016,86,0.08512,0.08164,0.5,50158,4095,48110,323331,6.45
2016,87,0.09572,0.09135,0.5,46063,4208,43959,275221,5.97
2016,88,0.11097,0.10514,0.5,41855,4401,39655,231262,5.53
2016,89,0.12537,0.11797,0.5,37454,4419,35245,191607,5.12
2016,90,0.13778,0.1289,0.5,33036,4258,30907,156362,4.73
2016,91,0.15817,0.14658,0.5,28777,4218,26668,125456,4.36
2016,92,0.17854,0.1639,0.5,24559,4025,22547,98787,4.02
2016,93,0.19988,0.18172,0.5,20534,3731,18668,76241,3.71
2016,94,0.22414,0.20155,0.5,16802,3387,15109,57573,3.43
2016,95,0.2498,0.22206,0.5,13416,2979,11926,42464,3.17
2016,96,0.27773,0.24386,0.5,10437,2545,9164,30537,2.93
2016,97,0.30763,0.26662,0.5,7892,2104,6840,21373,2.71
2016,98,0.33939,0.29015,0.5,5788,1679,4948,14533,2.51
2016,99,0.37282,0.31424,0.5,4108,1291,3463,9586,2.33
2016,100,0.40766,0.33864,0.5,2817,954,2340,6123,2.17
2016,101,0.44362,0.36308,0.5,1863,677,1525,3783,2.03
2016,102,0.48033,0.38731,0.5,1187,460,957,2258,1.9
2016,103,0.51741,0.41107,0.5,727,299,578,1301,1.79
2016,104,0.55443,0.43409,0.5,428,186,335,723,1.69
2016,105,0.59098,0.45618,0.5,242,111,187,388,1.6
2016,106,0.62667,0.47716,0.5,132,63,100,201,1.52
2016,107,0.66112,0.49687,0.5,69,34,52,100,1.46
2016,108,0.69403,0.51523,0.5,35,18,26,48,1.4
2016,109,0.72514,0.53218,0.5,17,9,12,23,1.35
2016,110,0.75426,1,1.33,8,8,10,10,1.33
