Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
2016,0,0.00317,0.00317,0.14,100000,317,99729,8159626,81.6
2016,1,0.00028,0.00028,0.5,99683,28,99669,8059897,80.85
2016,2,0.00014,0.00014,0.5,99655,14,99648,7960228,79.88
2016,3,0.00012,0.00012,0.5,99641,12,99635,7860579,78.89
2016,4,0.00005,0.00005,0.5,99629,5,99627,7760944,77.9
2016,5,0.00012,0.00012,0.5,99624,12,99619,7661317,76.9
2016,6,0.00002,0.00002,0.5,99613,2,99611,7561699,75.91
2016,7,0.00011,0.00011,0.5,99610,11,99605,7462087,74.91
2016,8,0.00006,0.00006,0.5,99599,6,99596,7362483,73.92
2016,9,0.0001,0.0001,0.5,99593,10,99588,7262887,72.93
2016,10,0.00007,0.00007,0.5,99583,7,99580,7163298,71.93
2016,11,0.00008,0.00008,0.5,99576,8,99572,7063718,70.94
2016,12,0.0001,0.0001,0.5,99568,9,99563,6964146,69.94
2016,13,0.00007,0.00007,0.5,99559,7,99555,6864583,68.95
2016,14,0.00007,0.00007,0.5,99552,7,99548,6765028,67.96
2016,15,0.00017,0.00017,0.5,99544,17,99536,6665480,66.96
2016,16,0.00023,0.00023,0.5,99527,23,99516,6565944,65.97
2016,17,0.00024,0.00024,0.5,99504,24,99492,6466428,64.99
2016,18,0.00041,0.00041,0.5,99480,40,99460,6366936,64
2016,19,0.00042,0.00042,0.5,99440,42,99419,6267476,63.03
2016,20,0.00049,0.00049,0.5,99398,49,99373,6168057,62.05
2016,21,0.00037,0.00037,0.5,99349,37,99330,6068684,61.08
2016,22,0.00039,0.00039,0.5,99311,38,99292,5969354,60.11
2016,23,0.00027,0.00027,0.5,99273,27,99260,5870062,59.13
2016,24,0.00027,0.00027,0.5,99246,27,99233,5770802,58.15
2016,25,0.00036,0.00036,0.5,99219,36,99202,5671569,57.16
2016,26,0.00042,0.00042,0.5,99184,42,99163,5572367,56.18
2016,27,0.00028,0.00028,0.5,99142,27,99128,5473204,55.21
2016,28,0.00049,0.00049,0.5,99114,48,99090,5374076,54.22
2016,29,0.00036,0.00036,0.5,99066,36,99048,5274986,53.25
2016,30,0.00041,0.00041,0.5,99030,40,99010,5175938,52.27
2016,31,0.00057,0.00057,0.5,98990,56,98962,5076928,51.29
2016,32,0.0005,0.0005,0.5,98934,49,98909,4977966,50.32
2016,33,0.00056,0.00056,0.5,98884,55,98857,4879057,49.34
2016,34,0.00054,0.00054,0.5,98829,54,98803,4780200,48.37
