Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
2008,0,0.00781,0.00776,0.13,100000,776,99328,7827121,78.27
2008,1,0.00058,0.00057,0.5,99224,57,99196,7727793,77.88
2008,2,0.00027,0.00027,0.5,99167,27,99154,7628598,76.93
2008,3,0.00023,0.00023,0.5,99140,23,99129,7529444,75.95
2008,4,0.00014,0.00014,0.5,99117,14,99110,7430315,74.96
2008,5,0.00015,0.00015,0.5,99103,15,99095,7331205,73.98
2008,6,0.00023,0.00023,0.5,99088,23,99076,7232110,72.99
2008,7,0.00017,0.00017,0.5,99065,16,99057,7133033,72
2008,8,0.00015,0.00015,0.5,99048,15,99041,7033977,71.02
2008,9,0.00016,0.00016,0.5,99033,15,99025,6934936,70.03
2008,10,0.00013,0.00013,0.5,99018,13,99011,6835911,69.04
2008,11,0.00016,0.00016,0.5,99005,16,98997,6736899,68.05
2008,12,0.00022,0.00022,0.5,98989,22,98978,6637902,67.06
2008,13,0.00023,0.00023,0.5,98967,23,98956,6538924,66.07
2008,14,0.00026,0.00026,0.5,98944,26,98931,6439968,65.09
2008,15,0.00037,0.00037,0.5,98918,37,98900,6341037,64.1
2008,16,0.00043,0.00043,0.5,98882,42,98860,6242137,63.13
2008,17,0.00052,0.00052,0.5,98839,51,98814,6143277,62.15
2008,18,0.00059,0.00059,0.5,98788,58,98759,6044463,61.19
2008,19,0.00073,0.00073,0.5,98730,72,98694,5945704,60.22
2008,20,0.00075,0.00075,0.5,98658,74,98621,5847010,59.27
2008,21,0.00071,0.00071,0.5,98584,70,98549,5748389,58.31
2008,22,0.00079,0.00079,0.5,98514,77,98475,5649840,57.35
2008,23,0.00073,0.00073,0.5,98437,72,98401,5551364,56.4
2008,24,0.0008,0.0008,0.5,98365,78,98326,5452963,55.44
2008,25,0.00078,0.00078,0.5,98287,77,98248,5354638,54.48
2008,26,0.00087,0.00087,0.5,98210,86,98167,5256390,53.52
2008,27,0.00078,0.00078,0.5,98124,76,98086,5158222,52.57
2008,28,0.0009,0.0009,0.5,98048,89,98004,5060136,51.61
2008,29,0.0009,0.0009,0.5,97959,88,97915,4962133,50.66
2008,30,0.00095,0.00095,0.5,97871,93,97825,4864217,49.7
2008,31,0.001,0.001,0.5,97778,97,97730,4766392,48.75
2008,32,0.0011,0.0011,0.5,97681,108,97627,4668663,47.8
2008,33,0.00111,0.00111,0.5,97573,109,97519,4571036,46.85
2008,34,0.00126,0.00126,0.5,97465,122,97403,4473517,45.9
2008,35,0.00113,0.00113,0.5,97342,110,97287,4376114,44.96
2008,36,0.00137,0.00137,0.5,97232,133,97166,4278826,44.01
2008,37,0.00128,0.00128,0.5,97099,124,97037,4181661,43.07
2008,38,0.00134,0.00134,0.5,96975,130,96910,4084623,42.12
2008,39,0.00139,0.00138,0.5,96845,134,96778,3987713,41.18
2008,40,0.00152,0.00152,0.5,96711,147,96638,3890935,40.23
2008,41,0.00183,0.00183,0.5,96565,177,96476,3794297,39.29
2008,42,0.00165,0.00165,0.5,96388,159,96308,3697821,38.36
2008,43,0.0019,0.0019,0.5,96229,183,96137,3601512,37.43
2008,44,0.00208,0.00208,0.5,96046,199,95946,3505375,36.5
2008,45,0.00241,0.00241,0.5,95846,231,95731,3409429,35.57
2008,46,0.00255,0.00254,0.5,95616,243,95494,3313698,34.66
2008,47,0.00259,0.00258,0.5,95372,246,95249,3218204,33.74
2008,48,0.00251,0.0025,0.5,95126,238,95007,3122955,32.83
2008,49,0.00309,0.00309,0.5,94888,293,94741,3027948,31.91
2008,50,0.00348,0.00347,0.5,94595,328,94431,2933207,31.01
2008,51,0.00373,0.00372,0.5,94266,351,94091,2838776,30.11
2008,52,0.00391,0.0039,0.5,93916,366,93733,2744685,29.22
2008,53,0.00457,0.00456,0.5,93549,426,93336,2650953,28.34
2008,54,0.0048,0.00479,0.5,93123,446,92900,2557616,27.46
2008,55,0.005,0.00499,0.5,92678,462,92447,2464716,26.59
2008,56,0.00553,0.00551,0.5,92216,508,91961,2372269,25.73
2008,57,0.00603,0.00601,0.5,91707,551,91432,2280308,24.87
2008,58,0.00734,0.00731,0.5,91156,666,90823,2188876,24.01
2008,59,0.00778,0.00775,0.5,90490,701,90139,2098053,23.19
2008,60,0.0086,0.00856,0.5,89788,769,89404,2007915,22.36
2008,61,0.00936,0.00932,0.5,89019,829,88605,1918511,21.55
2008,62,0.0107,0.01064,0.5,88190,939,87721,1829906,20.75
2008,63,0.01103,0.01097,0.5,87251,957,86773,1742186,19.97
2008,64,0.01265,0.01257,0.5,86295,1085,85752,1655413,19.18
2008,65,0.01393,0.01383,0.5,85210,1179,84621,1569660,18.42
2008,66,0.01473,0.01463,0.5,84031,1229,83417,1485040,17.67
2008,67,0.01651,0.01637,0.5,82802,1356,82124,1401623,16.93
2008,68,0.01778,0.01762,0.5,81446,1435,80729,1319499,16.2
2008,69,0.01885,0.01867,0.5,80011,1494,79264,1238770,15.48
2008,70,0.02014,0.01994,0.5,78517,1565,77735,1159506,14.77
2008,71,0.02293,0.02267,0.5,76952,1744,76080,1081771,14.06
2008,72,0.02512,0.02481,0.5,75208,1866,74275,1005691,13.37
2008,73,0.02756,0.02719,0.5,73342,1994,72345,931417,12.7
2008,74,0.03058,0.03012,0.5,71348,2149,70273,859072,12.04
2008,75,0.03301,0.03247,0.5,69199,2247,68076,788799,11.4
2008,76,0.03935,0.03859,0.5,66952,2584,65660,720723,10.76
