Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
2016,0,0.00284,0.00284,0.14,100000,284,99757,7899270,78.99
2016,1,0.00027,0.00027,0.5,99716,27,99703,7799513,78.22
2016,2,0.00015,0.00015,0.5,99690,15,99682,7699810,77.24
2016,3,0.00015,0.00015,0.5,99674,15,99667,7600128,76.25
2016,4,0.00008,0.00008,0.5,99660,8,99656,7500461,75.26
2016,5,0.00007,0.00007,0.5,99652,7,99648,7400805,74.27
2016,6,0.00007,0.00007,0.5,99645,7,99641,7301157,73.27
2016,7,0.00011,0.00011,0.5,99637,11,99632,7201516,72.28
2016,8,0.00007,0.00007,0.5,99627,7,99623,7101884,71.29
2016,9,0.00004,0.00004,0.5,99620,4,99618,7002261,70.29
2016,10,0.00004,0.00004,0.5,99616,4,99614,6902643,69.29
2016,11,0.00011,0.00011,0.5,99612,11,99606,6803029,68.3
2016,12,0.00008,0.00008,0.5,99601,8,99597,6703423,67.3
2016,13,0.00014,0.00014,0.5,99593,14,99586,6603826,66.31
2016,14,0.00016,0.00016,0.5,99579,16,99571,6504240,65.32
2016,15,0.00013,0.00013,0.5,99563,13,99556,6404669,64.33
2016,16,0.00017,0.00017,0.5,99550,16,99542,6305113,63.34
2016,17,0.00024,0.00024,0.5,99533,24,99521,6205571,62.35
2016,18,0.00045,0.00045,0.5,99509,45,99487,6106050,61.36
2016,19,0.00042,0.00042,0.5,99465,42,99444,6006563,60.39
2016,20,0.00041,0.00041,0.5,99423,40,99403,5907119,59.41
2016,21,0.00044,0.00044,0.5,99383,43,99361,5807716,58.44
2016,22,0.00048,0.00048,0.5,99340,48,99316,5708355,57.46
2016,23,0.00051,0.00051,0.5,99292,51,99266,5609039,56.49
2016,24,0.00049,0.00049,0.5,99241,49,99216,5509773,55.52
2016,25,0.00049,0.00049,0.5,99192,49,99168,5410557,54.55
2016,26,0.00045,0.00045,0.5,99143,44,99121,5311389,53.57
2016,27,0.00054,0.00054,0.5,99099,53,99072,5212268,52.6
2016,28,0.00057,0.00057,0.5,99046,57,99017,5113196,51.62
2016,29,0.00045,0.00045,0.5,98989,45,98966,5014179,50.65
2016,30,0.00066,0.00066,0.5,98944,65,98912,4915212,49.68
2016,31,0.00063,0.00063,0.5,98879,62,98848,4816301,48.71
2016,32,0.00054,0.00054,0.5,98817,53,98791,4717452,47.74
2016,33,0.00062,0.00062,0.5,98764,61,98734,4618662,46.76
2016,34,0.00067,0.00067,0.5,98703,66,98670,4519928,45.79
2016,35,0.00084,0.00083,0.5,98638,82,98596,4421258,44.82
2016,36,0.0009,0.0009,0.5,98555,88,98511,4322661,43.86
2016,37,0.00097,0.00097,0.5,98467,96,98419,4224150,42.9
2016,38,0.00088,0.00088,0.5,98371,86,98328,4125731,41.94
2016,39,0.00088,0.00087,0.5,98285,86,98242,4027403,40.98
