Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
2016,0,0.0032,0.00319,0.14,100000,319,99726,8088386,80.88
2016,1,0.00034,0.00034,0.5,99681,34,99663,7988660,80.14
2016,2,0.00009,0.00009,0.5,99646,9,99642,7888997,79.17
2016,3,0.00008,0.00008,0.5,99638,8,99633,7789355,78.18
2016,4,0.00007,0.00007,0.5,99629,7,99626,7689721,77.18
2016,5,0.00009,0.00009,0.5,99623,9,99618,7590096,76.19
2016,6,0.00012,0.00012,0.5,99613,12,99607,7490478,75.2
2016,7,0.00001,0.00001,0.5,99601,1,99600,7390870,74.2
2016,8,0.00009,0.00009,0.5,99600,9,99595,7291270,73.21
2016,9,0.00012,0.00012,0.5,99591,12,99585,7191675,72.21
2016,10,0.00009,0.00009,0.5,99579,9,99574,7092090,71.22
2016,11,0.00001,0.00001,0.5,99570,1,99569,6992516,70.23
2016,12,0.00001,0.00001,0.5,99568,1,99568,6892947,69.23
2016,13,0.00006,0.00006,0.5,99567,6,99564,6793379,68.23
2016,14,0.00011,0.00011,0.5,99561,10,99556,6693815,67.23
2016,15,0.00006,0.00006,0.5,99550,6,99548,6594259,66.24
2016,16,0.00019,0.00019,0.5,99545,19,99535,6494711,65.24
2016,17,0.00014,0.00014,0.5,99526,14,99519,6395176,64.26
2016,18,0.00021,0.00021,0.5,99512,21,99501,6295657,63.27
2016,19,0.00022,0.00022,0.5,99490,22,99479,6196156,62.28
2016,20,0.00035,0.00035,0.5,99469,34,99451,6096677,61.29
2016,21,0.00035,0.00035,0.5,99434,35,99417,5997225,60.31
2016,22,0.00023,0.00023,0.5,99399,23,99388,5897809,59.33
2016,23,0.00046,0.00046,0.5,99376,45,99353,5798421,58.35
2016,24,0.00037,0.00037,0.5,99331,37,99312,5699068,57.37
2016,25,0.00041,0.00041,0.5,99294,41,99273,5599756,56.4
2016,26,0.00041,0.00041,0.5,99253,40,99232,5500483,55.42
2016,27,0.00036,0.00036,0.5,99212,36,99194,5401250,54.44
2016,28,0.00034,0.00034,0.5,99176,33,99159,5302056,53.46
2016,29,0.00042,0.00042,0.5,99143,41,99122,5202897,52.48
2016,30,0.00035,0.00035,0.5,99101,35,99084,5103775,51.5
2016,31,0.00049,0.00049,0.5,99066,48,99042,5004691,50.52
2016,32,0.00058,0.00058,0.5,99018,57,98990,4905649,49.54
2016,33,0.00047,0.00047,0.5,98961,47,98938,4806659,48.57
2016,34,0.0004,0.0004,0.5,98914,40,98895,4707722,47.59
2016,35,0.00059,0.00059,0.5,98875,59,98845,4608827,46.61
2016,36,0.0007,0.0007,0.5,98816,69,98781,4509982,45.64
2016,37,0.0008,0.0008,0.5,98747,79,98707,4411200,44.67
2016,38,0.00059,0.00059,0.5,98668,59,98639,4312493,43.71
2016,39,0.00075,0.00074,0.5,98609,73,98573,4213854,42.73
2016,40,0.00097,0.00097,0.5,98536,96,98488,4115281,41.76
2016,41,0.00083,0.00083,0.5,98440,81,98400,4016793,40.8
2016,42,0.001,0.001,0.5,98359,98,98310,3918394,39.84
2016,43,0.00104,0.00104,0.5,98261,102,98210,3820084,38.88
2016,44,0.00141,0.00141,0.5,98159,138,98090,3721874,37.92
2016,45,0.00138,0.00137,0.5,98021,135,97953,3623784,36.97
2016,46,0.00169,0.00169,0.5,97886,166,97803,3525831,36.02
2016,47,0.00211,0.0021,0.5,97720,206,97617,3428028,35.08
2016,48,0.00214,0.00214,0.5,97515,209,97410,3330411,34.15
2016,49,0.00207,0.00207,0.5,97306,201,97205,3233001,33.23
2016,50,0.00287,0.00287,0.5,97105,278,96966,3135795,32.29
2016,51,0.00277,0.00277,0.5,96827,268,96693,3038829,31.38
2016,52,0.00309,0.00308,0.5,96559,298,96410,2942137,30.47
2016,53,0.00309,0.00308,0.5,96261,297,96113,2845727,29.56
2016,54,0.0041,0.00409,0.5,95965,393,95768,2749614,28.65
2016,55,0.00465,0.00464,0.5,95572,443,95350,2653845,27.77
2016,56,0.00506,0.00504,0.5,95128,480,94889,2558495,26.9
2016,57,0.00619,0.00617,0.5,94649,584,94356,2463607,26.03
2016,58,0.00612,0.0061,0.5,94064,574,93777,2369250,25.19
2016,59,0.00682,0.0068,0.5,93491,635,93173,2275473,24.34
2016,60,0.00784,0.00781,0.5,92855,725,92493,2182300,23.5
2016,61,0.00817,0.00814,0.5,92130,750,91755,2089807,22.68
2016,62,0.00857,0.00854,0.5,91380,780,90990,1998052,21.87
2016,63,0.01035,0.01029,0.5,90600,933,90134,1907062,21.05
2016,64,0.01109,0.01103,0.5,89667,989,89173,1816929,20.26
2016,65,0.01179,0.01172,0.5,88678,1039,88159,1727756,19.48
2016,66,0.01228,0.0122,0.5,87639,1069,87104,1639597,18.71
2016,67,0.01371,0.01362,0.5,86570,1179,85980,1552493,17.93
2016,68,0.01453,0.01443,0.5,85391,1232,84775,1466513,17.17
2016,69,0.01517,0.01506,0.5,84159,1267,83525,1381738,16.42
2016,70,0.01705,0.0169,0.5,82892,1401,82191,1298212,15.66
2016,71,0.01926,0.01908,0.5,81491,1555,80714,1216021,14.92
2016,72,0.02121,0.02099,0.5,79936,1678,79097,1135307,14.2
2016,73,0.02269,0.02243,0.5,78259,1756,77381,1056210,13.5
2016,74,0.02483,0.02453,0.5,76503,1877,75565,978829,12.79
2016,75,0.02886,0.02845,0.5,74627,2123,73565,903264,12.1
2016,76,0.03019,0.02974,0.5,72503,2157,71425,829699,11.44
2016,77,0.03378,0.03322,0.5,70347,2337,69178,758274,10.78
2016,78,0.04013,0.03934,0.5,68010,2676,66672,689096,10.13
2016,79,0.0434,0.04248,0.5,65334,2775,63946,622424,9.53
2016,80,0.05,0.04878,0.5,62559,3052,61033,558478,8.93
2016,81,0.05639,0.05485,0.5,59507,3264,57875,497445,8.36
2016,82,0.06431,0.0623,0.5,56243,3504,54491,439570,7.82
2016,83,0.07143,0.06897,0.5,52739,3637,50920,385079,7.3
2016,84,0.08262,0.07934,0.5,49102,3896,47154,334159,6.81
2016,85,0.08831,0.08457,0.5,45206,3823,43294,287005,6.35
2016,86,0.10159,0.09668,0.5,41383,4001,39382,243711,5.89
2016,87,0.11747,0.11095,0.5,37382,4147,35308,204329,5.47
2016,88,0.13143,0.12333,0.5,33234,4099,31185,169021,5.09
2016,89,0.13978,0.13065,0.5,29136,3806,27232,137836,4.73
2016,90,0.16296,0.15068,0.5,25329,3817,23421,110603,4.37
2016,91,0.17903,0.16432,0.5,21512,3535,19745,87183,4.05
2016,92,0.19916,0.18112,0.5,17977,3256,16349,67438,3.75
2016,93,0.22125,0.19921,0.5,14721,2933,13255,51088,3.47
2016,94,0.25832,0.22878,0.5,11789,2697,10440,37833,3.21
2016,95,0.27234,0.2397,0.5,9092,2179,8002,27393,3.01
2016,96,0.29901,0.26012,0.5,6912,1798,6013,19391,2.81
2016,97,0.32717,0.28117,0.5,5114,1438,4395,13378,2.62
2016,98,0.35667,0.30269,0.5,3676,1113,3120,8982,2.44
2016,99,0.38737,0.32452,0.5,2564,832,2148,5862,2.29
2016,100,0.41907,0.34647,0.5,1732,600,1432,3715,2.15
2016,101,0.45154,0.36837,0.5,1132,417,923,2283,2.02
2016,102,0.48452,0.39003,0.5,715,279,575,1360,1.9
2016,103,0.51774,0.41128,0.5,436,179,346,785,1.8
2016,104,0.55091,0.43193,0.5,257,111,201,438,1.71
2016,105,0.58374,0.45186,0.5,146,66,113,237,1.62
2016,106,0.61593,0.47091,0.5,80,38,61,124,1.55
2016,107,0.64724,0.48899,0.5,42,21,32,63,1.49
2016,108,0.67741,0.50602,0.5,22,11,16,31,1.43
2016,109,0.70624,0.52194,0.5,11,6,8,15,1.39
2016,110,0.73358,1,1.36,5,5,7,7,1.36
