Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
2015,0,0.00168,0.00168,0.15,100000,168,99856,8143956,81.44
2015,1,0.00009,0.00009,0.5,99832,9,99828,8044099,80.58
2015,2,0.00013,0.00013,0.5,99823,13,99817,7944272,79.58
2015,3,0.00008,0.00008,0.5,99810,8,99806,7844455,78.59
2015,4,0.00006,0.00006,0.5,99802,6,99799,7744649,77.6
2015,5,0.00008,0.00008,0.5,99795,8,99791,7644850,76.61
2015,6,0.00002,0.00002,0.5,99787,2,99787,7545059,75.61
2015,7,0.00005,0.00005,0.5,99786,5,99783,7445272,74.61
2015,8,0.00003,0.00003,0.5,99781,3,99779,7345489,73.62
2015,9,0.00008,0.00008,0.5,99778,8,99773,7245710,72.62
2015,10,0.00005,0.00005,0.5,99769,5,99767,7145936,71.62
2015,11,0.00017,0.00017,0.5,99764,17,99756,7046169,70.63
2015,12,0.00009,0.00009,0.5,99748,9,99743,6946413,69.64
2015,13,0.00014,0.00014,0.5,99739,14,99732,6846670,68.65
2015,14,0.00005,0.00005,0.5,99725,5,99722,6746938,67.66
2015,15,0.00017,0.00017,0.5,99720,17,99711,6647216,66.66
2015,16,0.00019,0.00019,0.5,99703,19,99694,6547504,65.67
2015,17,0.0002,0.0002,0.5,99684,20,99674,6447811,64.68
2015,18,0.00029,0.00029,0.5,99664,29,99650,6348136,63.7
2015,19,0.00049,0.00049,0.5,99635,49,99611,6248486,62.71
2015,20,0.00041,0.00041,0.5,99587,40,99567,6148875,61.74
2015,21,0.0005,0.0005,0.5,99547,49,99522,6049308,60.77
2015,22,0.00055,0.00055,0.5,99497,55,99470,5949786,59.8
2015,23,0.00039,0.00039,0.5,99442,39,99423,5850317,58.83
2015,24,0.00055,0.00055,0.5,99404,54,99377,5750894,57.85
2015,25,0.00055,0.00054,0.5,99349,54,99322,5651517,56.89
2015,26,0.00054,0.00054,0.5,99295,54,99269,5552195,55.92
2015,27,0.00041,0.00041,0.5,99242,41,99221,5452926,54.95
2015,28,0.0005,0.0005,0.5,99201,49,99176,5353705,53.97
2015,29,0.00064,0.00064,0.5,99152,64,99120,5254529,52.99
2015,30,0.00064,0.00064,0.5,99088,63,99056,5155409,52.03
2015,31,0.0007,0.0007,0.5,99025,70,98990,5056353,51.06
2015,32,0.00059,0.00059,0.5,98955,58,98926,4957363,50.1
2015,33,0.0007,0.0007,0.5,98897,70,98862,4858438,49.13
2015,34,0.00073,0.00073,0.5,98827,72,98791,4759576,48.16
2015,35,0.00062,0.00062,0.5,98755,62,98724,4660785,47.2
2015,36,0.00075,0.00075,0.5,98694,74,98656,4562060,46.22
2015,37,0.00087,0.00087,0.5,98619,86,98576,4463404,45.26
2015,38,0.00088,0.00088,0.5,98533,86,98490,4364827,44.3
