Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
2016,0,0.00362,0.00361,0.14,100000,361,99690,8238684,82.39
2016,1,0.00024,0.00024,0.5,99639,24,99627,8138994,81.68
2016,2,0.00018,0.00018,0.5,99615,18,99606,8039367,80.7
2016,3,0.00013,0.00013,0.5,99597,13,99591,7939761,79.72
2016,4,0.0001,0.0001,0.5,99585,10,99580,7840170,78.73
2016,5,0.0001,0.0001,0.5,99575,10,99570,7740590,77.74
2016,6,0.00009,0.00009,0.5,99565,9,99561,7641020,76.74
2016,7,0.00007,0.00007,0.5,99556,7,99553,7541459,75.75
2016,8,0.00006,0.00006,0.5,99550,6,99547,7441906,74.76
2016,9,0.00006,0.00006,0.5,99544,6,99541,7342360,73.76
2016,10,0.00008,0.00008,0.5,99538,8,99534,7242819,72.76
2016,11,0.00007,0.00007,0.5,99530,7,99526,7143286,71.77
2016,12,0.00007,0.00007,0.5,99523,7,99520,7043759,70.78
2016,13,0.00008,0.00008,0.5,99516,8,99512,6944240,69.78
2016,14,0.00012,0.00012,0.5,99508,12,99502,6844728,68.79
2016,15,0.00015,0.00015,0.5,99496,15,99488,6745226,67.79
2016,16,0.00015,0.00015,0.5,99480,15,99473,6645738,66.8
2016,17,0.00022,0.00022,0.5,99465,22,99454,6546266,65.81
2016,18,0.0003,0.0003,0.5,99443,30,99428,6446812,64.83
2016,19,0.00036,0.00036,0.5,99413,36,99395,6347384,63.85
2016,20,0.00036,0.00036,0.5,99377,36,99359,6247989,62.87
2016,21,0.00037,0.00037,0.5,99341,37,99323,6148630,61.89
2016,22,0.0004,0.0004,0.5,99304,40,99284,6049308,60.92
2016,23,0.00044,0.00044,0.5,99264,44,99242,5950023,59.94
2016,24,0.0004,0.0004,0.5,99220,40,99200,5850781,58.97
2016,25,0.00043,0.00043,0.5,99180,43,99159,5751581,57.99
2016,26,0.00049,0.00049,0.5,99137,49,99113,5652422,57.02
2016,27,0.00049,0.00049,0.5,99089,48,99065,5553309,56.04
2016,28,0.00049,0.00049,0.5,99041,49,99016,5454244,55.07
2016,29,0.00051,0.00051,0.5,98992,51,98966,5355228,54.1
2016,30,0.0005,0.0005,0.5,98941,50,98916,5256262,53.13
2016,31,0.00057,0.00057,0.5,98891,56,98863,5157346,52.15
2016,32,0.00059,0.00059,0.5,98835,59,98806,5058482,51.18
2016,33,0.00064,0.00064,0.5,98776,64,98745,4959677,50.21
2016,34,0.00068,0.00068,0.5,98713,67,98679,4860932,49.24
2016,35,0.0007,0.0007,0.5,98646,69,98611,4762253,48.28
2016,36,0.00074,0.00074,0.5,98576,73,98540,4663642,47.31
2016,37,0.00087,0.00087,0.5,98504,86,98461,4565101,46.34
2016,38,0.0009,0.0009,0.5,98418,89,98374,4466640,45.38
2016,39,0.00101,0.00101,0.5,98330,99,98280,4368266,44.42
2016,40,0.00104,0.00104,0.5,98230,102,98179,4269986,43.47
2016,41,0.00114,0.00114,0.5,98128,112,98072,4171807,42.51
2016,42,0.00132,0.00132,0.5,98016,129,97951,4073735,41.56
2016,43,0.0015,0.0015,0.5,97887,147,97813,3975783,40.62
2016,44,0.0016,0.0016,0.5,97740,156,97662,3877970,39.68
2016,45,0.0018,0.0018,0.5,97584,176,97496,3780308,38.74
2016,46,0.00194,0.00194,0.5,97408,189,97314,3682812,37.81
2016,47,0.00227,0.00227,0.5,97219,220,97109,3585499,36.88
2016,48,0.00242,0.00241,0.5,96999,234,96882,3488390,35.96
2016,49,0.00273,0.00272,0.5,96765,263,96633,3391508,35.05
2016,50,0.00294,0.00294,0.5,96501,283,96360,3294875,34.14
2016,51,0.00309,0.00308,0.5,96218,297,96070,3198515,33.24
2016,52,0.00332,0.00332,0.5,95921,318,95762,3102445,32.34
2016,53,0.00375,0.00374,0.5,95603,357,95424,3006683,31.45
2016,54,0.00417,0.00416,0.5,95246,396,95048,2911258,30.57
2016,55,0.00455,0.00454,0.5,94850,431,94634,2816210,29.69
2016,56,0.00515,0.00514,0.5,94419,485,94176,2721576,28.82
2016,57,0.00566,0.00564,0.5,93934,530,93669,2627400,27.97
2016,58,0.00602,0.006,0.5,93404,561,93124,2533731,27.13
2016,59,0.00652,0.00649,0.5,92843,603,92542,2440607,26.29
2016,60,0.00715,0.00713,0.5,92240,657,91912,2348065,25.46
2016,61,0.00761,0.00758,0.5,91583,694,91236,2256153,24.64
2016,62,0.00818,0.00815,0.5,90889,741,90518,2164917,23.82
2016,63,0.00871,0.00868,0.5,90148,782,89757,2074399,23.01
2016,64,0.00912,0.00907,0.5,89366,811,88960,1984642,22.21
2016,65,0.00977,0.00973,0.5,88555,861,88124,1895682,21.41
2016,66,0.01026,0.01021,0.5,87693,895,87246,1807558,20.61
2016,67,0.01074,0.01069,0.5,86798,927,86334,1720312,19.82
2016,68,0.01139,0.01132,0.5,85871,972,85384,1633978,19.03
2016,69,0.01254,0.01247,0.5,84898,1058,84369,1548594,18.24
2016,70,0.01358,0.01349,0.5,83840,1131,83274,1464225,17.46
2016,71,0.01457,0.01446,0.5,82709,1196,82111,1380950,16.7
2016,72,0.01587,0.01575,0.5,81513,1284,80871,1298840,15.93
2016,73,0.01719,0.01704,0.5,80229,1367,79545,1217969,15.18
2016,74,0.01855,0.01838,0.5,78862,1449,78137,1138424,14.44
2016,75,0.02049,0.02028,0.5,77413,1570,76627,1060287,13.7
2016,76,0.02202,0.02178,0.5,75842,1652,75016,983659,12.97
2016,77,0.02498,0.02468,0.5,74190,1831,73275,908643,12.25
2016,78,0.02816,0.02777,0.5,72360,2010,71355,835368,11.54
2016,79,0.03132,0.03084,0.5,70350,2169,69265,764013,10.86
2016,80,0.0352,0.03459,0.5,68181,2358,67001,694748,10.19
2016,81,0.04023,0.03944,0.5,65822,2596,64524,627746,9.54
2016,82,0.04529,0.04429,0.5,63226,2800,61826,563222,8.91
2016,83,0.05187,0.05056,0.5,60426,3055,58898,501396,8.3
2016,84,0.05961,0.05789,0.5,57371,3321,55710,442497,7.71
2016,85,0.06831,0.06605,0.5,54050,3570,52265,386787,7.16
2016,86,0.07827,0.07532,0.5,50480,3802,48579,334522,6.63
2016,87,0.09002,0.08614,0.5,46677,4021,44667,285944,6.13
2016,88,0.10342,0.09834,0.5,42656,4195,40559,241277,5.66
2016,89,0.12,0.11321,0.5,38462,4354,36285,200718,5.22
2016,90,0.13718,0.12838,0.5,34108,4379,31918,164433,4.82
2016,91,0.15154,0.14087,0.5,29729,4188,27635,132515,4.46
