Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
2016,0,0.00353,0.00352,0.14,100000,352,99698,8084674,80.85
2016,1,0.00026,0.00026,0.5,99648,26,99635,7984975,80.13
2016,2,0.00015,0.00015,0.5,99622,15,99615,7885340,79.15
2016,3,0.00011,0.00011,0.5,99607,11,99602,7785726,78.16
2016,4,0.0001,0.0001,0.5,99596,10,99591,7686124,77.17
2016,5,0.00011,0.00011,0.5,99586,11,99581,7586533,76.18
2016,6,0.0001,0.0001,0.5,99575,10,99570,7486952,75.19
2016,7,0.00006,0.00006,0.5,99565,6,99562,7387382,74.2
2016,8,0.00009,0.00009,0.5,99559,9,99554,7287820,73.2
2016,9,0.00007,0.00007,0.5,99550,7,99546,7188266,72.21
2016,10,0.00007,0.00007,0.5,99543,7,99539,7088719,71.21
2016,11,0.00008,0.00008,0.5,99535,8,99531,6989180,70.22
2016,12,0.00007,0.00007,0.5,99527,7,99524,6889649,69.22
2016,13,0.0001,0.0001,0.5,99521,10,99516,6790125,68.23
2016,14,0.00012,0.00012,0.5,99510,12,99505,6690609,67.24
2016,15,0.00013,0.00013,0.5,99499,13,99492,6591104,66.24
2016,16,0.0002,0.0002,0.5,99485,20,99475,6491612,65.25
2016,17,0.00023,0.00023,0.5,99465,23,99454,6392137,64.26
2016,18,0.00031,0.00031,0.5,99442,31,99427,6292683,63.28
2016,19,0.0003,0.0003,0.5,99412,29,99397,6193256,62.3
2016,20,0.00032,0.00032,0.5,99382,32,99366,6093859,61.32
2016,21,0.00027,0.00027,0.5,99351,27,99337,5994493,60.34
2016,22,0.00036,0.00036,0.5,99323,35,99306,5895156,59.35
2016,23,0.00031,0.00031,0.5,99288,31,99273,5795850,58.37
2016,24,0.00032,0.00032,0.5,99257,32,99241,5696577,57.39
2016,25,0.00032,0.00032,0.5,99225,32,99210,5597336,56.41
2016,26,0.00034,0.00034,0.5,99194,33,99177,5498126,55.43
2016,27,0.00037,0.00037,0.5,99160,37,99142,5398949,54.45
2016,28,0.00037,0.00037,0.5,99123,36,99105,5299807,53.47
2016,29,0.0004,0.0004,0.5,99087,39,99067,5200702,52.49
2016,30,0.00045,0.00045,0.5,99048,44,99026,5101635,51.51
2016,31,0.00048,0.00048,0.5,99003,47,98980,5002609,50.53
2016,32,0.00054,0.00054,0.5,98956,53,98929,4903629,49.55
2016,33,0.00051,0.00051,0.5,98903,50,98878,4804700,48.58
2016,34,0.00061,0.00061,0.5,98852,61,98822,4705822,47.6
2016,35,0.00063,0.00063,0.5,98792,63,98760,4607000,46.63
2016,36,0.00067,0.00067,0.5,98729,66,98696,4508240,45.66
2016,37,0.00073,0.00073,0.5,98663,72,98626,4409544,44.69
2016,38,0.00085,0.00085,0.5,98590,84,98548,4310918,43.73
2016,39,0.00084,0.00083,0.5,98507,82,98465,4212369,42.76
2016,40,0.00105,0.00105,0.5,98424,104,98372,4113904,41.8
2016,41,0.00105,0.00105,0.5,98321,103,98269,4015531,40.84
2016,42,0.00116,0.00115,0.5,98218,113,98161,3917262,39.88
2016,43,0.00123,0.00123,0.5,98104,120,98044,3819101,38.93
2016,44,0.00144,0.00144,0.5,97984,141,97913,3721057,37.98
2016,45,0.00157,0.00157,0.5,97843,154,97766,3623144,37.03
2016,46,0.00172,0.00171,0.5,97689,167,97605,3525378,36.09
2016,47,0.00193,0.00193,0.5,97521,188,97427,3427773,35.15
2016,48,0.00222,0.00221,0.5,97333,215,97226,3330346,34.22
2016,49,0.00246,0.00246,0.5,97118,239,96999,3233120,33.29
2016,50,0.00268,0.00267,0.5,96879,259,96750,3136121,32.37
2016,51,0.00298,0.00297,0.5,96620,287,96477,3039372,31.46
2016,52,0.00335,0.00334,0.5,96333,322,96172,2942895,30.55
2016,53,0.00371,0.00371,0.5,96011,356,95833,2846723,29.65
2016,54,0.00423,0.00422,0.5,95655,403,95454,2750890,28.76
2016,55,0.00473,0.00472,0.5,95252,450,95027,2655436,27.88
2016,56,0.00518,0.00517,0.5,94802,490,94558,2560409,27.01
2016,57,0.0057,0.00568,0.5,94313,536,94045,2465851,26.15
2016,58,0.00653,0.00651,0.5,93776,611,93471,2371807,25.29
2016,59,0.00696,0.00694,0.5,93166,647,92842,2278336,24.45
2016,60,0.00771,0.00768,0.5,92519,710,92164,2185493,23.62
2016,61,0.00811,0.00808,0.5,91809,742,91438,2093329,22.8
2016,62,0.00904,0.009,0.5,91067,819,90658,2001891,21.98
2016,63,0.00978,0.00973,0.5,90248,879,89809,1911234,21.18
2016,64,0.0108,0.01074,0.5,89369,960,88889,1821425,20.38
2016,65,0.01174,0.01167,0.5,88410,1032,87894,1732536,19.6
2016,66,0.01252,0.01244,0.5,87378,1087,86834,1644642,18.82
2016,67,0.01369,0.0136,0.5,86291,1174,85704,1557807,18.05
2016,68,0.01451,0.01441,0.5,85117,1226,84504,1472103,17.29
2016,69,0.01603,0.01591,0.5,83891,1334,83224,1387599,16.54
2016,70,0.01716,0.01702,0.5,82557,1405,81854,1304375,15.8
2016,71,0.01908,0.0189,0.5,81152,1534,80385,1222521,15.06
2016,72,0.02045,0.02024,0.5,79618,1612,78812,1142136,14.35
2016,73,0.02156,0.02133,0.5,78006,1664,77174,1063324,13.63
2016,74,0.02412,0.02383,0.5,76342,1819,75433,986149,12.92
2016,75,0.02546,0.02514,0.5,74523,1874,73586,910717,12.22
2016,76,0.02905,0.02863,0.5,72649,2080,71609,837130,11.52
2016,77,0.03204,0.03153,0.5,70569,2225,69456,765521,10.85
2016,78,0.03609,0.03545,0.5,68344,2423,67132,696065,10.18
2016,79,0.04086,0.04004,0.5,65921,2639,64601,628932,9.54
2016,80,0.04664,0.04558,0.5,63282,2884,61839,564331,8.92
2016,81,0.0548,0.05334,0.5,60397,3221,58787,502491,8.32
2016,82,0.06016,0.0584,0.5,57176,3339,55506,443705,7.76
2016,83,0.06939,0.06706,0.5,53837,3611,52031,388199,7.21
2016,84,0.0792,0.07618,0.5,50226,3826,48313,336167,6.69
2016,85,0.0907,0.08677,0.5,46400,4026,44387,287854,6.2
2016,86,0.10325,0.09818,0.5,42374,4160,40293,243468,5.75
2016,87,0.11789,0.11132,0.5,38213,4254,36086,203174,5.32
2016,88,0.13278,0.12451,0.5,33959,4228,31845,167088,4.92
2016,89,0.15034,0.13983,0.5,29731,4157,27652,135243,4.55
2016,90,0.16698,0.15411,0.5,25573,3941,23603,107591,4.21
2016,91,0.1899,0.17343,0.5,21632,3752,19756,83988,3.88
2016,92,0.21027,0.19027,0.5,17881,3402,16180,64232,3.59
2016,93,0.23176,0.20769,0.5,14478,3007,12975,48053,3.32
2016,94,0.26315,0.23255,0.5,11471,2668,10138,35078,3.06
2016,95,0.28998,0.25326,0.5,8804,2230,7689,24940,2.83
2016,96,0.32063,0.27633,0.5,6574,1817,5666,17251,2.62
2016,97,0.35307,0.3001,0.5,4757,1428,4044,11585,2.44
2016,98,0.3871,0.32433,0.5,3330,1080,2790,7542,2.26
2016,99,0.42243,0.34876,0.5,2250,785,1858,4752,2.11
2016,100,0.45873,0.37314,0.5,1465,547,1192,2894,1.98
