Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
2016,0,0.00316,0.00315,0.14,100000,315,99730,8250154,82.5
2016,1,0.00034,0.00034,0.5,99685,33,99668,8150424,81.76
2016,2,0.00017,0.00017,0.5,99652,17,99643,8050756,80.79
2016,3,0.00013,0.00013,0.5,99635,13,99628,7951113,79.8
2016,4,0.00005,0.00005,0.5,99622,5,99620,7851484,78.81
2016,5,0.00014,0.00014,0.5,99617,14,99611,7751865,77.82
2016,6,0.00008,0.00008,0.5,99604,8,99600,7652254,76.83
2016,7,0.00009,0.00009,0.5,99596,9,99591,7552654,75.83
2016,8,0.00013,0.00013,0.5,99587,13,99581,7453063,74.84
2016,9,0.00009,0.00009,0.5,99574,9,99570,7353483,73.85
2016,10,0.00009,0.00009,0.5,99565,9,99561,7253913,72.86
2016,11,0.00007,0.00007,0.5,99556,7,99553,7154352,71.86
2016,12,0.00009,0.00009,0.5,99549,9,99544,7054800,70.87
2016,13,0.00012,0.00012,0.5,99539,12,99533,6955256,69.87
2016,14,0.00016,0.00016,0.5,99527,16,99519,6855722,68.88
2016,15,0.0002,0.0002,0.5,99511,20,99501,6756203,67.89
2016,16,0.0002,0.0002,0.5,99491,20,99481,6656702,66.91
2016,17,0.00022,0.00022,0.5,99471,22,99460,6557222,65.92
2016,18,0.00039,0.00039,0.5,99449,38,99430,6457762,64.94
2016,19,0.00028,0.00028,0.5,99410,28,99396,6358332,63.96
2016,20,0.00036,0.00036,0.5,99383,36,99365,6258936,62.98
2016,21,0.00034,0.00034,0.5,99347,34,99330,6159571,62
2016,22,0.00024,0.00024,0.5,99313,24,99301,6060241,61.02
2016,23,0.00034,0.00034,0.5,99289,34,99272,5960940,60.04
2016,24,0.0003,0.0003,0.5,99255,29,99240,5861669,59.06
2016,25,0.00029,0.00029,0.5,99225,29,99211,5762429,58.07
2016,26,0.00038,0.00038,0.5,99197,38,99178,5663218,57.09
2016,27,0.00044,0.00044,0.5,99159,43,99137,5564040,56.11
2016,28,0.00036,0.00036,0.5,99115,35,99098,5464903,55.14
2016,29,0.00042,0.00042,0.5,99080,41,99060,5365805,54.16
2016,30,0.00041,0.00041,0.5,99039,40,99019,5266745,53.18
2016,31,0.00033,0.00033,0.5,98999,33,98982,5167727,52.2
