Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
2014,0,0.00277,0.00277,0.14,100000,277,99763,8294871,82.95
2014,1,0.00015,0.00015,0.5,99723,15,99716,8195108,82.18
2014,2,0.00013,0.00013,0.5,99708,13,99701,8095392,81.19
2014,3,0.00012,0.00012,0.5,99695,12,99689,7995691,80.2
2014,4,0.00009,0.00009,0.5,99683,9,99679,7896002,79.21
2014,5,0.00007,0.00007,0.5,99674,7,99671,7796323,78.22
2014,6,0.00009,0.00009,0.5,99667,9,99663,7696653,77.22
2014,7,0.00006,0.00006,0.5,99658,6,99656,7596990,76.23
2014,8,0.00006,0.00006,0.5,99653,6,99650,7497334,75.23
2014,9,0.00006,0.00006,0.5,99647,6,99644,7397684,74.24
2014,10,0.00004,0.00004,0.5,99641,4,99639,7298041,73.24
2014,11,0.00007,0.00007,0.5,99636,7,99633,7198402,72.25
2014,12,0.00007,0.00007,0.5,99629,7,99625,7098769,71.25
2014,13,0.00009,0.00009,0.5,99622,9,99617,6999144,70.26
2014,14,0.00013,0.00013,0.5,99613,13,99606,6899526,69.26
2014,15,0.00014,0.00014,0.5,99600,14,99593,6799920,68.27
2014,16,0.00016,0.00016,0.5,99586,16,99578,6700328,67.28
2014,17,0.0002,0.0002,0.5,99570,20,99560,6600750,66.29
2014,18,0.00026,0.00026,0.5,99550,26,99537,6501190,65.31
2014,19,0.00024,0.00024,0.5,99524,24,99512,6401654,64.32
2014,20,0.00024,0.00024,0.5,99500,24,99488,6302142,63.34
2014,21,0.00026,0.00026,0.5,99476,26,99463,6202654,62.35
2014,22,0.00031,0.00031,0.5,99450,31,99435,6103190,61.37
2014,23,0.00026,0.00026,0.5,99420,26,99406,6003756,60.39
2014,24,0.00029,0.00029,0.5,99393,28,99379,5904349,59.4
2014,25,0.00032,0.00032,0.5,99365,31,99349,5804970,58.42
2014,26,0.00031,0.00031,0.5,99334,31,99318,5705621,57.44
2014,27,0.00031,0.00031,0.5,99303,30,99288,5606302,56.46
2014,28,0.00032,0.00032,0.5,99272,32,99257,5507015,55.47
2014,29,0.00032,0.00032,0.5,99241,32,99225,5407758,54.49
2014,30,0.00036,0.00036,0.5,99209,36,99191,5308534,53.51
2014,31,0.00033,0.00033,0.5,99173,33,99157,5209343,52.53
2014,32,0.00036,0.00036,0.5,99140,36,99122,5110186,51.54
2014,33,0.0004,0.0004,0.5,99105,40,99085,5011063,50.56
2014,34,0.00042,0.00042,0.5,99065,42,99043,4911979,49.58
2014,35,0.00049,0.00049,0.5,99022,48,98998,4812935,48.6
2014,36,0.00051,0.00051,0.5,98974,50,98949,4713937,47.63
2014,37,0.00058,0.00058,0.5,98924,57,98895,4614989,46.65
2014,38,0.00062,0.00062,0.5,98866,61,98836,4516094,45.68
2014,39,0.00065,0.00065,0.5,98805,64,98773,4417258,44.71
2014,40,0.00069,0.00068,0.5,98741,68,98707,4318485,43.74
2014,41,0.00079,0.00079,0.5,98674,78,98635,4219777,42.77
2014,42,0.00085,0.00085,0.5,98596,84,98553,4121143,41.8
2014,43,0.00099,0.00099,0.5,98511,98,98463,4022589,40.83
2014,44,0.00107,0.00107,0.5,98414,105,98361,3924127,39.87
2014,45,0.00112,0.00112,0.5,98309,110,98254,3825765,38.92
2014,46,0.00131,0.00131,0.5,98198,128,98134,3727512,37.96
2014,47,0.00144,0.00144,0.5,98070,141,97999,3629378,37.01
2014,48,0.00163,0.00163,0.5,97929,160,97849,3531378,36.06
2014,49,0.00184,0.00184,0.5,97769,180,97679,3433529,35.12
2014,50,0.00206,0.00206,0.5,97589,201,97489,3335850,34.18
2014,51,0.00221,0.0022,0.5,97388,215,97281,3238361,33.25
2014,52,0.00246,0.00246,0.5,97174,239,97054,3141080,32.32
2014,53,0.0027,0.00269,0.5,96935,261,96804,3044025,31.4
2014,54,0.00304,0.00303,0.5,96674,293,96527,2947221,30.49
2014,55,0.00321,0.0032,0.5,96381,308,96226,2850693,29.58
2014,56,0.00351,0.0035,0.5,96072,336,95904,2754467,28.67
2014,57,0.00391,0.0039,0.5,95736,374,95549,2658563,27.77
