Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
2016,0,0.00199,0.00199,0.15,100000,199,99830,8415797,84.16
2016,1,0.00032,0.00032,0.5,99801,32,99785,8315967,83.33
2016,2,0.00018,0.00018,0.5,99769,18,99760,8216182,82.35
2016,3,0.00012,0.00012,0.5,99751,12,99746,8116421,81.37
2016,4,0.00009,0.00009,0.5,99740,9,99735,8016676,80.38
2016,5,0.00009,0.00009,0.5,99731,9,99726,7916941,79.38
2016,6,0.0001,0.0001,0.5,99722,9,99717,7817215,78.39
2016,7,0.00006,0.00006,0.5,99712,6,99709,7717498,77.4
2016,8,0.00007,0.00007,0.5,99706,7,99702,7617789,76.4
2016,9,0.00006,0.00006,0.5,99699,6,99696,7518087,75.41
2016,10,0.00007,0.00007,0.5,99693,7,99690,7418390,74.41
2016,11,0.00008,0.00008,0.5,99687,8,99683,7318700,73.42
2016,12,0.00007,0.00007,0.5,99679,7,99676,7219017,72.42
2016,13,0.00008,0.00008,0.5,99672,8,99668,7119342,71.43
2016,14,0.0001,0.0001,0.5,99664,10,99659,7019674,70.43
2016,15,0.00013,0.00013,0.5,99654,13,99647,6920015,69.44
2016,16,0.00017,0.00017,0.5,99641,17,99632,6820368,68.45
2016,17,0.00019,0.00019,0.5,99624,19,99614,6720735,67.46
2016,18,0.00022,0.00022,0.5,99605,22,99594,6621121,66.47
2016,19,0.00027,0.00027,0.5,99583,27,99570,6521528,65.49
2016,20,0.00028,0.00028,0.5,99556,28,99542,6421958,64.51
2016,21,0.00038,0.00038,0.5,99528,38,99509,6322416,63.52
2016,22,0.00036,0.00036,0.5,99490,36,99472,6222907,62.55
2016,23,0.00036,0.00036,0.5,99454,35,99436,6123435,61.57
2016,24,0.00038,0.00038,0.5,99418,38,99400,6023999,60.59
2016,25,0.00042,0.00042,0.5,99381,42,99360,5924599,59.62
2016,26,0.00037,0.00037,0.5,99339,37,99320,5825239,58.64
2016,27,0.00039,0.00039,0.5,99301,38,99282,5725919,57.66
2016,28,0.00042,0.00042,0.5,99263,41,99243,5626637,56.68
2016,29,0.00041,0.00041,0.5,99222,41,99202,5527395,55.71
2016,30,0.00045,0.00045,0.5,99181,44,99159,5428193,54.73
2016,31,0.00043,0.00043,0.5,99137,43,99115,5329034,53.75
2016,32,0.00046,0.00046,0.5,99094,46,99071,5229918,52.78
2016,33,0.00049,0.00049,0.5,99048,49,99024,5130847,51.8
2016,34,0.00053,0.00053,0.5,98999,53,98973,5031824,50.83
2016,35,0.00056,0.00056,0.5,98947,55,98919,4932851,49.85
2016,36,0.0006,0.0006,0.5,98891,59,98862,4833932,48.88
2016,37,0.00067,0.00067,0.5,98833,66,98799,4735070,47.91
2016,38,0.00068,0.00068,0.5,98766,67,98733,4636270,46.94
2016,39,0.00073,0.00073,0.5,98699,72,98663,4537538,45.97
2016,40,0.00076,0.00076,0.5,98627,75,98590,4438874,45.01
2016,41,0.0009,0.0009,0.5,98553,88,98508,4340284,44.04
2016,42,0.00099,0.00099,0.5,98464,97,98416,4241776,43.08
2016,43,0.00105,0.00105,0.5,98367,103,98315,4143361,42.12
2016,44,0.00113,0.00113,0.5,98264,111,98208,4045045,41.17
2016,45,0.00125,0.00125,0.5,98153,123,98092,3946837,40.21
2016,46,0.00144,0.00144,0.5,98030,141,97960,3848745,39.26
2016,47,0.00152,0.00151,0.5,97889,148,97815,3750786,38.32
2016,48,0.00177,0.00177,0.5,97741,173,97654,3652971,37.37
2016,49,0.00182,0.00182,0.5,97568,178,97479,3555316,36.44
2016,50,0.00211,0.00211,0.5,97390,206,97287,3457838,35.5
2016,51,0.00228,0.00228,0.5,97185,221,97074,3360550,34.58
2016,52,0.00245,0.00245,0.5,96963,237,96845,3263476,33.66
2016,53,0.00276,0.00275,0.5,96726,266,96593,3166632,32.74
2016,54,0.00287,0.00286,0.5,96460,276,96321,3070039,31.83
2016,55,0.00311,0.00311,0.5,96183,299,96034,2973718,30.92
2016,56,0.00345,0.00345,0.5,95884,331,95719,2877684,30.01
2016,57,0.00378,0.00377,0.5,95554,360,95374,2781965,29.11
2016,58,0.0041,0.00409,0.5,95194,390,94999,2686591,28.22
2016,59,0.00452,0.00451,0.5,94804,427,94590,2591592,27.34
2016,60,0.00492,0.0049,0.5,94377,463,94145,2497002,26.46
2016,61,0.00528,0.00526,0.5,93914,494,93667,2402856,25.59
2016,62,0.00577,0.00576,0.5,93419,538,93151,2309190,24.72
2016,63,0.00641,0.00639,0.5,92882,593,92585,2216039,23.86
2016,64,0.00694,0.00692,0.5,92288,639,91969,2123454,23.01
2016,65,0.00758,0.00756,0.5,91650,692,91304,2031485,22.17
2016,66,0.00845,0.00841,0.5,90957,765,90575,1940181,21.33
2016,67,0.00924,0.0092,0.5,90192,830,89777,1849606,20.51
2016,68,0.01017,0.01012,0.5,89363,905,88910,1759829,19.69
2016,69,0.01084,0.01079,0.5,88458,954,87981,1670918,18.89
2016,70,0.01158,0.01152,0.5,87504,1008,87000,1582937,18.09
2016,71,0.0133,0.01322,0.5,86496,1143,85925,1495937,17.29
2016,72,0.01417,0.01407,0.5,85353,1201,84753,1410013,16.52
2016,73,0.01532,0.01521,0.5,84153,1280,83513,1325260,15.75
2016,74,0.01717,0.01703,0.5,82873,1411,82167,1241747,14.98
2016,75,0.01914,0.01896,0.5,81462,1544,80690,1159580,14.23
2016,76,0.02097,0.02076,0.5,79917,1659,79088,1078890,13.5
2016,77,0.02331,0.02304,0.5,78259,1803,77357,999802,12.78
2016,78,0.02651,0.02616,0.5,76455,2000,75455,922445,12.07
2016,79,0.03011,0.02966,0.5,74455,2208,73351,846990,11.38
2016,80,0.03372,0.03316,0.5,72247,2396,71049,773639,10.71
2016,81,0.0387,0.03797,0.5,69851,2652,68525,702589,10.06
2016,82,0.04276,0.04186,0.5,67199,2813,65793,634064,9.44
2016,83,0.05011,0.04888,0.5,64386,3147,62813,568271,8.83
2016,84,0.05669,0.05512,0.5,61239,3376,59551,505458,8.25
2016,85,0.06327,0.06133,0.5,57863,3549,56089,445907,7.71
2016,86,0.07224,0.06972,0.5,54314,3787,52421,389818,7.18
2016,87,0.08129,0.07811,0.5,50527,3947,48554,337397,6.68
2016,88,0.09322,0.08907,0.5,46581,4149,44506,288843,6.2
2016,89,0.10499,0.09975,0.5,42432,4233,40315,244337,5.76
2016,90,0.11956,0.11282,0.5,38199,4309,36044,204022,5.34
2016,91,0.13292,0.12464,0.5,33890,4224,31778,167977,4.96
