Croatia, Life tables (period 1x1), Total	Last modified: 14 Nov 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  2002           0      0.00708  0.00704  0.13  100000     704   99391  7472468  74.72
  2002           1      0.00058  0.00058  0.50   99296      57   99268  7373077  74.25
  2002           2      0.00025  0.00025  0.50   99239      25   99227  7273809  73.30
  2002           3      0.00022  0.00022  0.50   99214      22   99203  7174582  72.31
  2002           4      0.00019  0.00019  0.50   99192      19   99183  7075379  71.33
  2002           5      0.00016  0.00016  0.50   99174      16   99166  6976197  70.34
  2002           6      0.00020  0.00020  0.50   99158      20   99148  6877031  69.35
  2002           7      0.00008  0.00008  0.50   99137       8   99133  6777883  68.37
  2002           8      0.00019  0.00019  0.50   99129      19   99120  6678750  67.37
  2002           9      0.00010  0.00010  0.50   99110      10   99105  6579631  66.39
  2002          10      0.00009  0.00009  0.50   99100       8   99096  6480526  65.39
  2002          11      0.00006  0.00006  0.50   99091       6   99088  6381430  64.40
  2002          12      0.00014  0.00014  0.50   99086      14   99079  6282342  63.40
  2002          13      0.00010  0.00010  0.50   99072      10   99067  6183263  62.41
  2002          14      0.00017  0.00017  0.50   99062      17   99053  6084196  61.42
  2002          15      0.00025  0.00025  0.50   99045      25   99032  5985143  60.43
  2002          16      0.00043  0.00043  0.50   99020      43   98999  5886110  59.44
  2002          17      0.00045  0.00045  0.50   98977      44   98955  5787112  58.47
  2002          18      0.00057  0.00056  0.50   98933      56   98905  5688157  57.50
  2002          19      0.00094  0.00094  0.50   98877      93   98830  5589252  56.53
  2002          20      0.00081  0.00081  0.50   98784      80   98744  5490421  55.58
  2002          21      0.00097  0.00097  0.50   98704      96   98656  5391677  54.62
  2002          22      0.00077  0.00077  0.50   98608      76   98570  5293021  53.68
  2002          23      0.00088  0.00088  0.50   98532      87   98489  5194451  52.72
  2002          24      0.00091  0.00091  0.50   98445      89   98401  5095963  51.76
  2002          25      0.00065  0.00065  0.50   98356      64   98324  4997562  50.81
  2002          26      0.00069  0.00069  0.50   98292      68   98258  4899238  49.84
  2002          27      0.00079  0.00079  0.50   98224      77   98185  4800980  48.88
  2002          28      0.00083  0.00083  0.50   98147      81   98106  4702795  47.92
  2002          29      0.00073  0.00073  0.50   98065      72   98029  4604689  46.96
  2002          30      0.00089  0.00089  0.50   97993      87   97950  4506659  45.99
  2002          31      0.00061  0.00061  0.50   97906      60   97877  4408709  45.03
  2002          32      0.00107  0.00107  0.50   97847     104   97795  4310833  44.06
  2002          33      0.00096  0.00096  0.50   97742      94   97695  4213038  43.10
  2002          34      0.00100  0.00100  0.50   97649      98   97600  4115343  42.14
  2002          35      0.00106  0.00106  0.50   97551     103   97499  4017743  41.19
