Portugal, Life tables (period 1x1), Total	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1940           0      0.14504  0.13177  0.31  100000   13177   90855  5138016  51.38
  1940           1      0.04956  0.04836  0.50   86823    4199   84723  5047161  58.13
  1940           2      0.01983  0.01964  0.50   82624    1623   81812  4962438  60.06
  1940           3      0.01008  0.01003  0.50   81001     813   80595  4880626  60.25
  1940           4      0.00657  0.00655  0.50   80188     525   79926  4800031  59.86
  1940           5      0.00436  0.00435  0.50   79663     346   79490  4720105  59.25
  1940           6      0.00362  0.00361  0.50   79317     286   79174  4640616  58.51
  1940           7      0.00300  0.00300  0.50   79030     237   78912  4561442  57.72
  1940           8      0.00265  0.00265  0.50   78794     209   78689  4482530  56.89
  1940           9      0.00220  0.00219  0.50   78585     172   78498  4403841  56.04
  1940          10      0.00229  0.00229  0.50   78412     179   78323  4325342  55.16
  1940          11      0.00210  0.00209  0.50   78233     164   78151  4247020  54.29
  1940          12      0.00186  0.00185  0.50   78069     145   77997  4168869  53.40
  1940          13      0.00239  0.00238  0.50   77924     186   77832  4090872  52.50
  1940          14      0.00219  0.00219  0.50   77739     170   77654  4013041  51.62
  1940          15      0.00248  0.00248  0.50   77569     192   77472  3935387  50.73
  1940          16      0.00288  0.00288  0.50   77376     223   77265  3857915  49.86
  1940          17      0.00323  0.00322  0.50   77154     248   77029  3780650  49.00
  1940          18      0.00402  0.00402  0.50   76905     309   76751  3703620  48.16
  1940          19      0.00432  0.00431  0.50   76596     330   76431  3626869  47.35
  1940          20      0.00445  0.00444  0.50   76266     338   76097  3550438  46.55
  1940          21      0.00434  0.00433  0.50   75928     329   75763  3474341  45.76
  1940          22      0.00429  0.00428  0.50   75599     323   75437  3398577  44.96
  1940          23      0.00482  0.00481  0.50   75276     362   75095  3323140  44.15
  1940          24      0.00454  0.00453  0.50   74914     340   74744  3248045  43.36
  1940          25      0.00453  0.00452  0.50   74574     337   74406  3173301  42.55
  1940          26      0.00491  0.00490  0.50   74237     364   74055  3098895  41.74
  1940          27      0.00514  0.00513  0.50   73873     379   73683  3024840  40.95
  1940          28      0.00552  0.00550  0.50   73494     404   73292  2951157  40.16
  1940          29      0.00470  0.00469  0.50   73090     343   72918  2877865  39.37
  1940          30      0.00561  0.00559  0.50   72747     407   72543  2804947  38.56
  1940          31      0.00497  0.00496  0.50   72340     359   72161  2732403  37.77
  1940          32      0.00569  0.00567  0.50   71981     408   71777  2660243  36.96
  1940          33      0.00630  0.00628  0.50   71573     450   71348  2588466  36.17
  1940          34      0.00549  0.00548  0.50   71123     389   70928  2517118  35.39
  1940          35      0.00585  0.00583  0.50   70734     413   70527  2446189  34.58
  1940          36      0.00598  0.00596  0.50   70321     419   70112  2375662  33.78
  1940          37      0.00572  0.00570  0.50   69902     398   69703  2305550  32.98
  1940          38      0.00653  0.00651  0.50   69504     453   69277  2235847  32.17
  1940          39      0.00579  0.00578  0.50   69051     399   68852  2166570  31.38
  1940          40      0.00742  0.00740  0.50   68652     508   68398  2097718  30.56
  1940          41      0.00671  0.00669  0.50   68144     456   67917  2029320  29.78
  1940          42      0.00827  0.00824  0.50   67689     558   67410  1961403  28.98
  1940          43      0.00759  0.00756  0.50   67131     508   66877  1893993  28.21
  1940          44      0.00704  0.00702  0.50   66623     468   66389  1827116  27.42
  1940          45      0.00873  0.00869  0.50   66156     575   65868  1760727  26.61
  1940          46      0.00940  0.00936  0.50   65581     614   65274  1694859  25.84
  1940          47      0.00820  0.00817  0.50   64967     531   64702  1629585  25.08
  1940          48      0.00999  0.00994  0.50   64437     640   64117  1564883  24.29
  1940          49      0.00835  0.00831  0.50   63796     530   63531  1500766  23.52
  1940          50      0.01175  0.01168  0.50   63266     739   62897  1437235  22.72
  1940          51      0.01074  0.01069  0.50   62527     668   62193  1374338  21.98
  1940          52      0.01174  0.01167  0.50   61859     722   61498  1312145  21.21
  1940          53      0.01183  0.01176  0.50   61137     719   60777  1250647  20.46
  1940          54      0.01284  0.01276  0.50   60418     771   60032  1189869  19.69
  1940          55      0.01474  0.01463  0.50   59647     873   59211  1129837  18.94
  1940          56      0.01602  0.01589  0.50   58774     934   58307  1070626  18.22
  1940          57      0.01608  0.01595  0.50   57840     923   57379  1012319  17.50
  1940          58      0.01947  0.01928  0.50   56917    1098   56369   954941  16.78
  1940          59      0.01492  0.01480  0.50   55820     826   55407   898572  16.10
  1940          60      0.02524  0.02492  0.50   54993    1371   54308   843165  15.33
  1940          61      0.02161  0.02138  0.50   53623    1147   53049   788857  14.71
  1940          62      0.02528  0.02496  0.50   52476    1310   51821   735808  14.02
  1940          63      0.02888  0.02847  0.50   51166    1457   50438   683987  13.37
  1940          64      0.02894  0.02853  0.50   49709    1418   49000   633549  12.75
  1940          65      0.03451  0.03392  0.50   48291    1638   47472   584549  12.10
  1940          66      0.03555  0.03493  0.50   46653    1629   45838   537077  11.51
  1940          67      0.03638  0.03573  0.50   45024    1609   44219   491238  10.91
  1940          68      0.05030  0.04907  0.50   43415    2130   42350   447019  10.30
  1940          69      0.03357  0.03301  0.50   41285    1363   40603   404669   9.80
  1940          70      0.06877  0.06649  0.50   39922    2654   38595   364066   9.12
  1940          71      0.05644  0.05489  0.50   37267    2046   36245   325471   8.73
  1940          72      0.07502  0.07231  0.50   35222    2547   33949   289227   8.21
  1940          73      0.08201  0.07878  0.50   32675    2574   31388   255278   7.81
  1940          74      0.07628  0.07348  0.50   30101    2212   28995   223890   7.44
  1940          75      0.09807  0.09349  0.50   27889    2607   26586   194895   6.99
  1940          76      0.10177  0.09684  0.50   25282    2448   24058   168309   6.66
  1940          77      0.09991  0.09516  0.50   22834    2173   21747   144251   6.32
  1940          78      0.14338  0.13379  0.50   20661    2764   19279   122504   5.93
  1940          79      0.11078  0.10496  0.50   17897    1879   16957   103225   5.77
  1940          80      0.18786  0.17173  0.50   16018    2751   14643    86268   5.39
  1940          81      0.10457  0.09937  0.50   13267    1318   12608    71625   5.40
  1940          82      0.15851  0.14687  0.50   11949    1755   11071    59017   4.94
  1940          83      0.14647  0.13647  0.50   10194    1391    9498    47946   4.70
  1940          84      0.17703  0.16264  0.50    8803    1432    8087    38447   4.37
  1940          85      0.23249  0.20828  0.50    7371    1535    6603    30360   4.12
  1940          86      0.21475  0.19393  0.50    5836    1132    5270    23757   4.07
  1940          87      0.20516  0.18607  0.50    4704     875    4267    18487   3.93
  1940          88      0.23762  0.21239  0.50    3829     813    3422    14220   3.71
  1940          89      0.20162  0.18316  0.50    3016     552    2739    10798   3.58
  1940          90      0.34518  0.29438  0.50    2463     725    2101     8059   3.27
  1940          91      0.25781  0.22837  0.50    1738     397    1540     5958   3.43
  1940          92      0.27024  0.23807  0.50    1341     319    1182     4418   3.29
  1940          93      0.28304  0.24795  0.50    1022     253     895     3237   3.17
  1940          94      0.29621  0.25800  0.50     769     198     669     2341   3.05
  1940          95      0.30972  0.26819  0.50     570     153     494     1672   2.93
  1940          96      0.32357  0.27851  0.50     417     116     359     1178   2.82
  1940          97      0.33774  0.28895  0.50     301      87     258      819   2.72
  1940          98      0.35222  0.29948  0.50     214      64     182      561   2.62
  1940          99      0.36698  0.31008  0.50     150      47     127      379   2.53
  1940         100      0.38199  0.32073  0.50     103      33      87      253   2.44
  1940         101      0.39725  0.33142  0.50      70      23      59      166   2.36
  1940         102      0.41271  0.34211  0.50      47      16      39      107   2.28
  1940         103      0.42836  0.35280  0.50      31      11      25       68   2.21
  1940         104      0.44416  0.36344  0.50      20       7      16       43   2.14
  1940         105      0.46008  0.37403  0.50      13       5      10       26   2.07
  1940         106      0.47609  0.38455  0.50       8       3       6       16   2.01
  1940         107      0.49216  0.39497  0.50       5       2       4       10   1.96
  1940         108      0.50826  0.40527  0.50       3       1       2        6   1.91
  1940         109      0.52436  0.41544  0.50       2       1       1        3   1.87
  1940         110+     0.54041  1.00000  1.85       1       1       2        2   1.85
  1941           0      0.16916  0.15139  0.31  100000   15139   89495  4798850  47.99
  1941           1      0.07057  0.06816  0.50   84861    5784   81969  4709356  55.49
  1941           2      0.02651  0.02617  0.50   79077    2069   78042  4627387  58.52
  1941           3      0.01254  0.01246  0.50   77008     960   76528  4549344  59.08
  1941           4      0.00718  0.00716  0.50   76048     544   75776  4472816  58.82
  1941           5      0.00486  0.00485  0.50   75504     366   75321  4397040  58.24
  1941           6      0.00411  0.00410  0.50   75138     308   74984  4321720  57.52
  1941           7      0.00350  0.00350  0.50   74829     262   74699  4246736  56.75
  1941           8      0.00295  0.00295  0.50   74568     220   74458  4172037  55.95
  1941           9      0.00280  0.00279  0.50   74348     208   74244  4097579  55.11
  1941          10      0.00220  0.00219  0.50   74140     163   74059  4023335  54.27
  1941          11      0.00246  0.00245  0.50   73978     181   73887  3949276  53.38
  1941          12      0.00221  0.00221  0.50   73796     163   73715  3875390  52.51
  1941          13      0.00221  0.00220  0.50   73633     162   73552  3801675  51.63
  1941          14      0.00274  0.00274  0.50   73471     201   73371  3728122  50.74
  1941          15      0.00276  0.00276  0.50   73270     202   73169  3654752  49.88
  1941          16      0.00334  0.00333  0.50   73068     243   72946  3581583  49.02
  1941          17      0.00361  0.00361  0.50   72824     263   72693  3508637  48.18
  1941          18      0.00376  0.00376  0.50   72562     273   72426  3435944  47.35
  1941          19      0.00417  0.00416  0.50   72289     301   72139  3363518  46.53
  1941          20      0.00520  0.00518  0.50   71988     373   71802  3291379  45.72
  1941          21      0.00471  0.00470  0.50   71615     336   71447  3219577  44.96
  1941          22      0.00522  0.00521  0.50   71279     371   71093  3148130  44.17
  1941          23      0.00457  0.00456  0.50   70908     323   70746  3077037  43.39
  1941          24      0.00488  0.00487  0.50   70585     343   70413  3006291  42.59
  1941          25      0.00473  0.00472  0.50   70241     332   70075  2935878  41.80
  1941          26      0.00514  0.00513  0.50   69910     359   69730  2865802  40.99
  1941          27      0.00493  0.00491  0.50   69551     342   69380  2796072  40.20
  1941          28      0.00509  0.00508  0.50   69209     351   69033  2726692  39.40
  1941          29      0.00508  0.00507  0.50   68858     349   68683  2657659  38.60
  1941          30      0.00525  0.00524  0.50   68509     359   68329  2588975  37.79
  1941          31      0.00550  0.00548  0.50   68150     374   67963  2520646  36.99
  1941          32      0.00587  0.00585  0.50   67776     396   67578  2452683  36.19
  1941          33      0.00583  0.00581  0.50   67380     392   67184  2385105  35.40
  1941          34      0.00599  0.00597  0.50   66988     400   66788  2317921  34.60
  1941          35      0.00661  0.00659  0.50   66588     439   66369  2251132  33.81
  1941          36      0.00603  0.00601  0.50   66150     398   65951  2184763  33.03
  1941          37      0.00616  0.00614  0.50   65752     404   65550  2118813  32.22
  1941          38      0.00729  0.00727  0.50   65348     475   65111  2053263  31.42
  1941          39      0.00661  0.00659  0.50   64873     427   64660  1988152  30.65
  1941          40      0.00714  0.00712  0.50   64446     459   64217  1923492  29.85
  1941          41      0.00633  0.00631  0.50   63987     404   63785  1859276  29.06
  1941          42      0.00936  0.00931  0.50   63583     592   63287  1795490  28.24
  1941          43      0.00716  0.00713  0.50   62991     449   62767  1732203  27.50
  1941          44      0.00892  0.00888  0.50   62542     555   62264  1669436  26.69
  1941          45      0.00936  0.00932  0.50   61987     578   61698  1607172  25.93
  1941          46      0.00848  0.00844  0.50   61409     519   61150  1545474  25.17
  1941          47      0.00819  0.00816  0.50   60891     497   60642  1484324  24.38
  1941          48      0.01134  0.01128  0.50   60394     681   60053  1423682  23.57
  1941          49      0.00951  0.00946  0.50   59713     565   59430  1363629  22.84
  1941          50      0.01134  0.01127  0.50   59148     667   58814  1304198  22.05
  1941          51      0.00901  0.00897  0.50   58481     525   58219  1245384  21.30
  1941          52      0.01498  0.01487  0.50   57956     862   57525  1187166  20.48
  1941          53      0.01300  0.01292  0.50   57095     737   56726  1129640  19.79
  1941          54      0.01435  0.01425  0.50   56357     803   55956  1072914  19.04
  1941          55      0.01663  0.01649  0.50   55554     916   55096  1016959  18.31
  1941          56      0.01509  0.01497  0.50   54638     818   54229   961863  17.60
  1941          57      0.01610  0.01597  0.50   53820     859   53390   907634  16.86
