Republic of Korea, Life tables (period 1x1), Females	Last modified: 15 Nov 2019;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  2003           0      0.00485  0.00483  0.14  100000     483   99585  8070708  80.71
  2003           1      0.00048  0.00048  0.50   99517      47   99494  7971123  80.10
  2003           2      0.00029  0.00029  0.50   99470      29   99456  7871629  79.14
  2003           3      0.00029  0.00029  0.50   99441      28   99427  7772174  78.16
  2003           4      0.00026  0.00026  0.50   99413      26   99400  7672747  77.18
  2003           5      0.00017  0.00017  0.50   99387      17   99378  7573347  76.20
  2003           6      0.00022  0.00022  0.50   99370      22   99359  7473969  75.21
  2003           7      0.00016  0.00016  0.50   99348      16   99340  7374610  74.23
  2003           8      0.00012  0.00012  0.50   99332      12   99326  7275270  73.24
  2003           9      0.00014  0.00014  0.50   99320      14   99313  7175944  72.25
  2003          10      0.00013  0.00013  0.50   99306      13   99300  7076631  71.26
  2003          11      0.00012  0.00012  0.50   99293      12   99288  6977331  70.27
  2003          12      0.00012  0.00012  0.50   99282      12   99276  6878043  69.28
  2003          13      0.00013  0.00013  0.50   99270      13   99263  6778768  68.29
  2003          14      0.00012  0.00012  0.50   99257      12   99251  6679505  67.30
  2003          15      0.00020  0.00020  0.50   99245      20   99235  6580254  66.30
  2003          16      0.00026  0.00026  0.50   99225      26   99212  6481019  65.32
  2003          17      0.00028  0.00028  0.50   99199      28   99185  6381807  64.33
  2003          18      0.00026  0.00026  0.50   99171      26   99158  6282622  63.35
  2003          19      0.00029  0.00029  0.50   99145      29   99131  6183464  62.37
  2003          20      0.00029  0.00029  0.50   99116      29   99102  6084333  61.39
  2003          21      0.00032  0.00032  0.50   99087      32   99071  5985231  60.40
  2003          22      0.00038  0.00038  0.50   99055      37   99037  5886160  59.42
  2003          23      0.00038  0.00038  0.50   99018      37   98999  5787123  58.45
  2003          24      0.00036  0.00036  0.50   98981      36   98963  5688124  57.47
  2003          25      0.00038  0.00038  0.50   98945      38   98926  5589161  56.49
  2003          26      0.00043  0.00043  0.50   98907      42   98886  5490235  55.51
  2003          27      0.00045  0.00045  0.50   98865      44   98843  5391349  54.53
  2003          28      0.00045  0.00045  0.50   98821      45   98798  5292507  53.56
  2003          29      0.00046  0.00046  0.50   98776      45   98753  5193708  52.58
  2003          30      0.00048  0.00048  0.50   98731      47   98707  5094955  51.60
  2003          31      0.00049  0.00049  0.50   98683      49   98659  4996248  50.63
  2003          32      0.00051  0.00051  0.50   98635      50   98610  4897589  49.65
  2003          33      0.00059  0.00059  0.50   98585      58   98555  4798979  48.68
  2003          34      0.00068  0.00068  0.50   98526      67   98493  4700424  47.71
  2003          35      0.00066  0.00066  0.50   98459      65   98427  4601931  46.74
  2003          36      0.00071  0.00071  0.50   98394      70   98360  4503504  45.77
  2003          37      0.00079  0.00078  0.50   98325      77   98286  4405145  44.80
  2003          38      0.00077  0.00077  0.50   98248      76   98210  4306859  43.84
  2003          39      0.00090  0.00090  0.50   98172      88   98128  4208649  42.87
  2003          40      0.00100  0.00100  0.50   98084      98   98035  4110521  41.91
  2003          41      0.00100  0.00099  0.50   97985      97   97937  4012487  40.95
  2003          42      0.00105  0.00105  0.50   97888     103   97836  3914550  39.99
  2003          43      0.00127  0.00127  0.50   97785     124   97723  3816713  39.03
  2003          44      0.00138  0.00138  0.50   97661     134   97593  3718991  38.08
  2003          45      0.00127  0.00127  0.50   97526     124   97464  3621397  37.13
  2003          46      0.00155  0.00154  0.50   97403     150   97327  3523933  36.18
  2003          47      0.00175  0.00174  0.50   97252     170   97167  3426606  35.23
  2003          48      0.00181  0.00181  0.50   97083     175   96995  3329438  34.29
  2003          49      0.00191  0.00191  0.50   96907     185   96815  3232443  33.36
  2003          50      0.00206  0.00206  0.50   96722     199   96623  3135629  32.42
  2003          51      0.00243  0.00243  0.50   96523     234   96406  3039006  31.48
  2003          52      0.00227  0.00227  0.50   96288     218   96179  2942600  30.56
  2003          53      0.00265  0.00264  0.50   96070     254   95943  2846421  29.63
  2003          54      0.00270  0.00270  0.50   95816     258   95687  2750478  28.71
  2003          55      0.00303  0.00302  0.50   95558     289   95413  2654791  27.78
  2003          56      0.00353  0.00352  0.50   95269     335   95101  2559377  26.86
