Greece, Life tables (period 1x1), Males	Last modified: 27 Jan 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1981           0      0.01527  0.01507  0.12  100000    1507   98672  7338947  73.39
  1981           1      0.00064  0.00064  0.50   98493      63   98461  7240275  73.51
  1981           2      0.00054  0.00054  0.50   98429      53   98403  7141813  72.56
  1981           3      0.00051  0.00051  0.50   98376      50   98351  7043411  71.60
  1981           4      0.00048  0.00048  0.50   98326      48   98302  6945060  70.63
  1981           5      0.00023  0.00023  0.50   98279      23   98267  6846757  69.67
  1981           6      0.00031  0.00031  0.50   98256      30   98241  6748490  68.68
  1981           7      0.00022  0.00022  0.50   98225      22   98214  6650249  67.70
  1981           8      0.00031  0.00031  0.50   98203      31   98188  6552035  66.72
  1981           9      0.00028  0.00028  0.50   98173      27   98159  6453847  65.74
  1981          10      0.00037  0.00037  0.50   98145      36   98128  6355688  64.76
  1981          11      0.00023  0.00023  0.50   98110      22   98098  6257560  63.78
  1981          12      0.00030  0.00030  0.50   98087      29   98073  6159462  62.80
  1981          13      0.00043  0.00043  0.50   98058      43   98037  6061389  61.81
  1981          14      0.00035  0.00035  0.50   98016      34   97999  5963352  60.84
  1981          15      0.00064  0.00064  0.50   97982      62   97951  5865353  59.86
  1981          16      0.00067  0.00067  0.50   97919      65   97887  5767403  58.90
  1981          17      0.00082  0.00082  0.50   97854      80   97814  5669516  57.94
  1981          18      0.00104  0.00104  0.50   97774     102   97723  5571702  56.99
  1981          19      0.00084  0.00084  0.50   97672      82   97631  5473979  56.04
  1981          20      0.00108  0.00108  0.50   97590     105   97537  5376348  55.09
  1981          21      0.00127  0.00127  0.50   97484     124   97423  5278811  54.15
  1981          22      0.00107  0.00107  0.50   97361     104   97309  5181389  53.22
  1981          23      0.00119  0.00119  0.50   97256     115   97199  5084080  52.27
  1981          24      0.00129  0.00129  0.50   97141     125   97079  4986881  51.34
  1981          25      0.00111  0.00111  0.50   97016     108   96962  4889803  50.40
  1981          26      0.00115  0.00115  0.50   96908     111   96852  4792840  49.46
  1981          27      0.00113  0.00113  0.50   96797     110   96742  4695988  48.51
  1981          28      0.00101  0.00101  0.50   96687      97   96638  4599246  47.57
  1981          29      0.00099  0.00099  0.50   96590      96   96542  4502608  46.62
  1981          30      0.00094  0.00094  0.50   96494      91   96449  4406066  45.66
  1981          31      0.00123  0.00123  0.50   96403     118   96344  4309617  44.70
  1981          32      0.00105  0.00105  0.50   96285     101   96234  4213273  43.76
  1981          33      0.00105  0.00105  0.50   96184     101   96133  4117039  42.80
  1981          34      0.00107  0.00107  0.50   96083     103   96031  4020906  41.85
  1981          35      0.00145  0.00145  0.50   95980     139   95910  3924875  40.89
  1981          36      0.00150  0.00150  0.50   95840     144   95769  3828965  39.95
  1981          37      0.00156  0.00156  0.50   95697     150   95622  3733196  39.01
  1981          38      0.00122  0.00122  0.50   95547     116   95489  3637574  38.07
  1981          39      0.00137  0.00137  0.50   95431     131   95365  3542085  37.12
  1981          40      0.00182  0.00182  0.50   95300     173   95213  3446720  36.17
  1981          41      0.00207  0.00207  0.50   95126     197   95028  3351507  35.23
  1981          42      0.00178  0.00178  0.50   94929     169   94845  3256479  34.30
  1981          43      0.00239  0.00239  0.50   94761     227   94648  3161634  33.36
  1981          44      0.00217  0.00216  0.50   94534     205   94432  3066986  32.44
  1981          45      0.00260  0.00260  0.50   94330     245   94207  2972555  31.51
  1981          46      0.00291  0.00290  0.50   94085     273   93948  2878347  30.59
  1981          47      0.00329  0.00328  0.50   93812     308   93658  2784399  29.68
  1981          48      0.00343  0.00342  0.50   93504     320   93344  2690742  28.78
  1981          49      0.00396  0.00395  0.50   93184     368   93000  2597398  27.87
  1981          50      0.00468  0.00466  0.50   92815     433   92599  2504398  26.98
  1981          51      0.00535  0.00533  0.50   92383     493   92136  2411799  26.11
  1981          52      0.00559  0.00558  0.50   91890     512   91634  2319663  25.24
  1981          53      0.00589  0.00588  0.50   91378     537   91109  2228029  24.38
  1981          54      0.00702  0.00700  0.50   90841     636   90523  2136920  23.52
  1981          55      0.00843  0.00840  0.50   90205     757   89826  2046397  22.69
  1981          56      0.00898  0.00894  0.50   89448     800   89048  1956571  21.87
  1981          57      0.01003  0.00998  0.50   88648     885   88205  1867523  21.07
  1981          58      0.01129  0.01123  0.50   87763     985   87270  1779318  20.27
  1981          59      0.01121  0.01115  0.50   86778     967   86294  1692048  19.50
  1981          60      0.01396  0.01387  0.50   85810    1190   85215  1605754  18.71
  1981          61      0.01594  0.01582  0.50   84620    1338   83951  1520539  17.97
  1981          62      0.01572  0.01560  0.50   83282    1299   82632  1436588  17.25
  1981          63      0.01784  0.01768  0.50   81982    1450   81258  1353956  16.52
  1981          64      0.02026  0.02005  0.50   80533    1615   79725  1272698  15.80
  1981          65      0.02169  0.02146  0.50   78918    1693   78071  1192973  15.12
  1981          66      0.02403  0.02374  0.50   77225    1833   76308  1114902  14.44
  1981          67      0.02600  0.02567  0.50   75391    1935   74423  1038594  13.78
  1981          68      0.03019  0.02974  0.50   73456    2184   72364   964170  13.13
  1981          69      0.03149  0.03101  0.50   71271    2210   70166   891807  12.51
  1981          70      0.03460  0.03401  0.50   69061    2349   67887   821641  11.90
  1981          71      0.03699  0.03632  0.50   66712    2423   65501   753754  11.30
  1981          72      0.04378  0.04284  0.50   64289    2754   62912   688253  10.71
  1981          73      0.04686  0.04579  0.50   61535    2817   60127   625341  10.16
  1981          74      0.05055  0.04930  0.50   58718    2895   57270   565214   9.63
  1981          75      0.05373  0.05232  0.50   55823    2921   54362   507944   9.10
  1981          76      0.06329  0.06135  0.50   52902    3245   51279   453581   8.57
  1981          77      0.06876  0.06647  0.50   49657    3301   48006   402302   8.10
  1981          78      0.07483  0.07213  0.50   46356    3344   44684   354296   7.64
  1981          79      0.08255  0.07928  0.50   43012    3410   41307   309612   7.20
  1981          80      0.09522  0.09089  0.50   39602    3599   37802   268304   6.77
  1981          81      0.10705  0.10161  0.50   36003    3658   34174   230502   6.40
  1981          82      0.10495  0.09972  0.50   32345    3225   30732   196328   6.07
  1981          83      0.12401  0.11677  0.50   29119    3400   27419   165596   5.69
