Republic of Korea, Life tables (period 1x1), Males	Last modified: 15 Nov 2019;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  2003           0      0.00600  0.00597  0.14  100000     597   99485  7375247  73.75
  2003           1      0.00042  0.00042  0.50   99403      42   99383  7275762  73.19
  2003           2      0.00041  0.00041  0.50   99362      41   99341  7176379  72.22
  2003           3      0.00031  0.00031  0.50   99321      31   99306  7077038  71.25
  2003           4      0.00035  0.00035  0.50   99290      34   99273  6977732  70.28
  2003           5      0.00026  0.00026  0.50   99256      26   99243  6878459  69.30
  2003           6      0.00026  0.00026  0.50   99230      26   99217  6779216  68.32
  2003           7      0.00025  0.00025  0.50   99205      25   99192  6679998  67.34
  2003           8      0.00018  0.00018  0.50   99179      18   99171  6580806  66.35
  2003           9      0.00017  0.00017  0.50   99162      17   99153  6481636  65.36
  2003          10      0.00018  0.00018  0.50   99144      18   99136  6382483  64.38
  2003          11      0.00018  0.00018  0.50   99127      18   99118  6283347  63.39
  2003          12      0.00015  0.00015  0.50   99108      15   99101  6184229  62.40
  2003          13      0.00016  0.00016  0.50   99094      15   99086  6085128  61.41
  2003          14      0.00024  0.00024  0.50   99078      24   99066  5986043  60.42
  2003          15      0.00030  0.00030  0.50   99054      29   99040  5886976  59.43
  2003          16      0.00042  0.00042  0.50   99025      41   99004  5787937  58.45
  2003          17      0.00049  0.00049  0.50   98984      48   98960  5688932  57.47
  2003          18      0.00061  0.00061  0.50   98936      61   98905  5589972  56.50
  2003          19      0.00069  0.00069  0.50   98875      68   98841  5491067  55.54
  2003          20      0.00063  0.00063  0.50   98807      62   98776  5392226  54.57
  2003          21      0.00055  0.00055  0.50   98745      55   98717  5293450  53.61
  2003          22      0.00069  0.00069  0.50   98690      68   98656  5194733  52.64
  2003          23      0.00076  0.00076  0.50   98622      74   98585  5096077  51.67
  2003          24      0.00085  0.00085  0.50   98548      84   98506  4997492  50.71
  2003          25      0.00082  0.00082  0.50   98464      81   98423  4898986  49.75
  2003          26      0.00085  0.00085  0.50   98383      84   98341  4800563  48.79
  2003          27      0.00086  0.00086  0.50   98299      85   98257  4702222  47.84
