nafa_id,order,heb_name,eng_name,mx0509_standart,e0,e65,BMI85plus_PerPuGR7,invasive_ASR_M,invasive_ASR_F,DiabDSR
11,15,ירושלים,jerusalem,5.1,81.7,20.2,0.3,287.9841369,295.1416765,52.5548491
21,13,צפת,zfat,5.6,80.3,19,0.2862,335.7227498,309.4160314,51.3529849
22,11,כנרת,kineret,5.7,80.2,19,0.2988,334.9905524,296.5183406,54.6997562
23,9,יזרעאל,izrael,5.9,79.7,18.7,0.31,339.4569857,302.9689946,33.1457875
24,12,עכו,akko,6,79.4,18.4,0.3525,336.9363047,288.7347417,70.4540477
29,14,גולן,golan,5.8,80.1,18.3,0.3203,339.3885061,308.5101266,70.4610219
31,8,חיפה,haifa,5.8,80.4,19.2,0.3273,364.211782,344.0843689,53.5378521
32,6,חדרה,hadera,6.2,79.1,18.1,0.3354,334.8299868,296.1087729,69.6254916
41,4,השרון,hasharon,5.3,81.3,19.9,0.329,307.4182424,302.8144057,56.6244219
42,2,פתח תקוו,petach tikva,5,82.4,20.5,0.2649,325.5606159,326.4521764,51.2065819
43,5,רמלה,ramla,5.5,80.4,18.8,0.2821,320.5424392,312.0870812,58.3125154
44,3,רחובות,rehovot,5.1,81.9,20,0.281,338.2603053,315.7170264,51.5957956
51,1,תל-אביב,tel-aviv,5.5,81.2,19.7,0.27,331.5262334,335.3893063,49.2947308
61,7,אשקלון,ashkelon,5.5,80.3,19,0.3359,359.4950272,325.3304736,59.3276237
62,10,באר שבע,beer-sheva,6,79,18.7,0.2967,345.3226953,306.5726614,60.7928463
77,16,יהודה ושומרון,Judea and Samaria,4.4,83.4,21.2,0.2,311.4149509,313.0923626,48.199555
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
