Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
2016,0,0.00415,0.00414,0.14,100000,414,99645,7780746,77.81
2016,1,0.00024,0.00024,0.5,99586,24,99574,7681101,77.13
2016,2,0.00017,0.00017,0.5,99563,17,99554,7581527,76.15
2016,3,0.00013,0.00013,0.5,99546,13,99540,7481972,75.16
2016,4,0.0001,0.0001,0.5,99533,10,99528,7382433,74.17
2016,5,0.00009,0.00009,0.5,99523,9,99519,7282904,73.18
2016,6,0.00011,0.00011,0.5,99514,11,99509,7183386,72.18
2016,7,0.00009,0.00009,0.5,99503,9,99498,7083877,71.19
2016,8,0.00009,0.00009,0.5,99494,9,99489,6984378,70.2
2016,9,0.00008,0.00008,0.5,99485,8,99481,6884889,69.21
2016,10,0.00007,0.00007,0.5,99477,7,99474,6785408,68.21
2016,11,0.00011,0.00011,0.5,99470,11,99465,6685934,67.22
2016,12,0.00011,0.00011,0.5,99459,11,99454,6586470,66.22
2016,13,0.00011,0.00011,0.5,99449,11,99443,6487016,65.23
2016,14,0.00016,0.00016,0.5,99438,16,99430,6387572,64.24
2016,15,0.00018,0.00018,0.5,99422,18,99413,6288143,63.25
2016,16,0.00025,0.00025,0.5,99404,25,99391,6188730,62.26
2016,17,0.00033,0.00033,0.5,99379,33,99362,6089339,61.27
2016,18,0.00046,0.00046,0.5,99346,46,99323,5989977,60.29
2016,19,0.00049,0.00049,0.5,99300,49,99276,5890654,59.32
2016,20,0.00049,0.00049,0.5,99251,49,99227,5791378,58.35
2016,21,0.00054,0.00054,0.5,99203,53,99176,5692151,57.38
2016,22,0.00057,0.00057,0.5,99149,57,99121,5592975,56.41
2016,23,0.00058,0.00058,0.5,99093,58,99064,5493854,55.44
2016,24,0.00059,0.00059,0.5,99035,58,99006,5394790,54.47
2016,25,0.0006,0.0006,0.5,98976,60,98947,5295784,53.51
2016,26,0.00062,0.00062,0.5,98917,61,98886,5196838,52.54
2016,27,0.00068,0.00068,0.5,98856,67,98822,5097952,51.57
2016,28,0.00065,0.00065,0.5,98788,64,98757,4999129,50.6
2016,29,0.00072,0.00072,0.5,98725,71,98689,4900373,49.64
2016,30,0.00074,0.00074,0.5,98654,73,98617,4801684,48.67
2016,31,0.00083,0.00083,0.5,98581,81,98540,4703067,47.71
2016,32,0.0009,0.0009,0.5,98499,88,98455,4604527,46.75
2016,33,0.00094,0.00094,0.5,98411,92,98365,4506072,45.79
2016,34,0.00101,0.00101,0.5,98319,99,98269,4407707,44.83
2016,35,0.0011,0.0011,0.5,98220,108,98166,4309438,43.88
2016,36,0.00119,0.00119,0.5,98112,116,98054,4211272,42.92
2016,37,0.00134,0.00134,0.5,97995,131,97930,4113218,41.97
2016,38,0.00139,0.00139,0.5,97864,136,97796,4015289,41.03
2016,39,0.00144,0.00144,0.5,97729,141,97658,3917492,40.09
2016,40,0.00162,0.00162,0.5,97588,158,97509,3819834,39.14
2016,41,0.00176,0.00175,0.5,97430,171,97345,3722325,38.21
2016,42,0.00194,0.00194,0.5,97259,188,97165,3624980,37.27
2016,43,0.00227,0.00227,0.5,97071,220,96961,3527815,36.34
2016,44,0.00257,0.00257,0.5,96851,248,96727,3430854,35.42
2016,45,0.00287,0.00287,0.5,96602,277,96464,3334128,34.51
2016,46,0.00303,0.00302,0.5,96325,291,96180,3237664,33.61
2016,47,0.00365,0.00364,0.5,96034,349,95859,3141484,32.71
2016,48,0.00378,0.00378,0.5,95684,361,95504,3045625,31.83
2016,49,0.00408,0.00407,0.5,95323,388,95129,2950121,30.95
2016,50,0.00457,0.00456,0.5,94935,433,94719,2854992,30.07
2016,51,0.00516,0.00514,0.5,94502,486,94259,2760274,29.21
2016,52,0.00543,0.00542,0.5,94016,509,93762,2666014,28.36
2016,53,0.00598,0.00596,0.5,93507,557,93228,2572252,27.51
2016,54,0.00696,0.00694,0.5,92950,645,92627,2479024,26.67
2016,55,0.00735,0.00733,0.5,92305,676,91967,2386397,25.85
2016,56,0.00819,0.00815,0.5,91628,747,91255,2294430,25.04
