Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
2014,0,0.00746,0.00742,0.13,100000,742,99358,7091642,70.92
2014,1,0.00067,0.00067,0.5,99258,67,99225,6992284,70.45
2014,2,0.0004,0.0004,0.5,99192,40,99172,6893059,69.49
2014,3,0.00036,0.00036,0.5,99152,36,99134,6793887,68.52
2014,4,0.00032,0.00032,0.5,99116,32,99100,6694753,67.54
2014,5,0.00025,0.00025,0.5,99084,25,99072,6595653,66.57
2014,6,0.00027,0.00027,0.5,99059,26,99046,6496582,65.58
2014,7,0.00024,0.00024,0.5,99033,24,99021,6397536,64.6
2014,8,0.00023,0.00023,0.5,99009,23,98998,6298514,63.62
2014,9,0.0002,0.0002,0.5,98987,20,98977,6199516,62.63
2014,10,0.00024,0.00024,0.5,98967,24,98955,6100539,61.64
2014,11,0.00025,0.00025,0.5,98943,24,98931,6001584,60.66
2014,12,0.00028,0.00028,0.5,98919,27,98905,5902653,59.67
2014,13,0.00031,0.00031,0.5,98892,31,98876,5803747,58.69
2014,14,0.00041,0.0004,0.5,98861,40,98841,5704871,57.71
2014,15,0.00054,0.00054,0.5,98821,53,98794,5606030,56.73
2014,16,0.00067,0.00067,0.5,98768,67,98735,5507236,55.76
2014,17,0.00076,0.00076,0.5,98701,75,98664,5408501,54.8
2014,18,0.00091,0.00091,0.5,98626,89,98581,5309837,53.84
2014,19,0.00102,0.00102,0.5,98537,100,98487,5211256,52.89
2014,20,0.0012,0.0012,0.5,98436,119,98377,5112769,51.94
2014,21,0.00135,0.00135,0.5,98318,132,98252,5014392,51
2014,22,0.00139,0.00139,0.5,98185,136,98117,4916141,50.07
2014,23,0.0015,0.0015,0.5,98049,147,97976,4818023,49.14
2014,24,0.00166,0.00166,0.5,97903,163,97821,4720047,48.21
2014,25,0.0019,0.0019,0.5,97740,186,97647,4622226,47.29
2014,26,0.00214,0.00214,0.5,97554,209,97450,4524579,46.38
2014,27,0.00235,0.00235,0.5,97345,228,97231,4427129,45.48
2014,28,0.00249,0.00248,0.5,97117,241,96996,4329898,44.58
2014,29,0.00268,0.00268,0.5,96876,260,96746,4232901,43.69
2014,30,0.00318,0.00318,0.5,96616,307,96463,4136155,42.81
2014,31,0.00354,0.00353,0.5,96309,340,96139,4039692,41.94
2014,32,0.00385,0.00384,0.5,95969,368,95785,3943553,41.09
2014,33,0.00407,0.00406,0.5,95600,388,95406,3847769,40.25
2014,34,0.00421,0.00421,0.5,95212,400,95012,3752362,39.41
2014,35,0.00476,0.00475,0.5,94812,451,94586,3657351,38.57
2014,36,0.00498,0.00497,0.5,94361,469,94126,3562764,37.76
2014,37,0.00507,0.00505,0.5,93892,475,93655,3468638,36.94
2014,38,0.00518,0.00517,0.5,93417,483,93176,3374983,36.13
2014,39,0.00518,0.00516,0.5,92934,480,92694,3281807,35.31
2014,40,0.00546,0.00544,0.5,92454,503,92203,3189113,34.49
2014,41,0.00553,0.00551,0.5,91951,507,91698,3096910,33.68
2014,42,0.00574,0.00572,0.5,91445,523,91183,3005212,32.86
2014,43,0.00584,0.00582,0.5,90921,530,90657,2914029,32.05
2014,44,0.00596,0.00595,0.5,90392,537,90123,2823372,31.23
2014,45,0.0066,0.00658,0.5,89854,591,89559,2733249,30.42
2014,46,0.00689,0.00687,0.5,89263,613,88957,2643690,29.62
2014,47,0.0075,0.00747,0.5,88650,663,88319,2554733,28.82
2014,48,0.00741,0.00738,0.5,87987,650,87663,2466415,28.03
2014,49,0.00802,0.00799,0.5,87338,698,86989,2378752,27.24
2014,50,0.00881,0.00877,0.5,86640,760,86260,2291763,26.45
2014,51,0.00929,0.00925,0.5,85880,794,85483,2205504,25.68
2014,52,0.00971,0.00966,0.5,85086,822,84674,2120021,24.92
2014,53,0.01019,0.01014,0.5,84263,855,83836,2035346,24.15
2014,54,0.0109,0.01084,0.5,83409,904,82957,1951510,23.4
2014,55,0.01217,0.0121,0.5,82505,998,82006,1868553,22.65
2014,56,0.01318,0.01309,0.5,81507,1067,80973,1786548,21.92
2014,57,0.01387,0.01377,0.5,80439,1108,79886,1705575,21.2
2014,58,0.01445,0.01434,0.5,79332,1138,78763,1625689,20.49
2014,59,0.01596,0.01583,0.5,78194,1238,77575,1546926,19.78
2014,60,0.01747,0.01732,0.5,76956,1333,76290,1469351,19.09
2014,61,0.01862,0.01845,0.5,75624,1395,74926,1393061,18.42
2014,62,0.02034,0.02013,0.5,74228,1494,73481,1318136,17.76
2014,63,0.02052,0.02031,0.5,72734,1477,71995,1244655,17.11
2014,64,0.02222,0.02198,0.5,71257,1566,70474,1172659,16.46
2014,65,0.02493,0.02462,0.5,69691,1716,68833,1102186,15.82
2014,66,0.02335,0.02308,0.5,67975,1569,67190,1033353,15.2
2014,67,0.02921,0.02879,0.5,66406,1912,65450,966163,14.55
2014,68,0.02652,0.02618,0.5,64494,1688,63650,900712,13.97
2014,69,0.02892,0.0285,0.5,62806,1790,61911,837062,13.33
2014,70,0.03208,0.03158,0.5,61016,1927,60052,775151,12.7
2014,71,0.03095,0.03048,0.5,59089,1801,58189,715099,12.1
2014,72,0.04086,0.04004,0.5,57288,2294,56141,656910,11.47
2014,73,0.03943,0.03867,0.5,54994,2127,53931,600769,10.92
2014,74,0.04404,0.04309,0.5,52868,2278,51729,546838,10.34
2014,75,0.05102,0.04975,0.5,50590,2517,49331,495109,9.79
2014,76,0.05206,0.05074,0.5,48073,2439,46853,445778,9.27
2014,77,0.05927,0.05756,0.5,45634,2627,44320,398924,8.74
2014,78,0.06541,0.06334,0.5,43007,2724,41645,354604,8.25
2014,79,0.07162,0.06914,0.5,40283,2785,38891,312959,7.77
2014,80,0.07521,0.07249,0.5,37498,2718,36139,274068,7.31
2014,81,0.0865,0.08291,0.5,34780,2884,33338,237929,6.84
2014,82,0.0974,0.09287,0.5,31896,2962,30415,204591,6.41
2014,83,0.10412,0.09897,0.5,28934,2863,27502,174176,6.02
2014,84,0.11747,0.11095,0.5,26070,2893,24624,146674,5.63
2014,85,0.12684,0.11928,0.5,23178,2765,21796,122050,5.27
2014,86,0.14357,0.13395,0.5,20413,2734,19046,100255,4.91
2014,87,0.15527,0.14409,0.5,17679,2547,16405,81208,4.59
2014,88,0.17331,0.15949,0.5,15132,2413,13925,64803,4.28
2014,89,0.18617,0.17032,0.5,12718,2166,11635,50878,4
2014,90,0.21274,0.19229,0.5,10552,2029,9538,39243,3.72
2014,91,0.22199,0.19981,0.5,8523,1703,7672,29705,3.49
2014,92,0.25061,0.22271,0.5,6820,1519,6061,22034,3.23
2014,93,0.27556,0.24219,0.5,5301,1284,4659,15973,3.01
2014,94,0.31134,0.2694,0.5,4017,1082,3476,11314,2.82
2014,95,0.32238,0.27763,0.5,2935,815,2528,7838,2.67
2014,96,0.34931,0.29737,0.5,2120,630,1805,5310,2.5
2014,97,0.37733,0.31744,0.5,1490,473,1253,3505,2.35
2014,98,0.40627,0.33768,0.5,1017,343,845,2252,2.22
2014,99,0.43596,0.35794,0.5,673,241,553,1407,2.09
2014,100,0.46618,0.37806,0.5,432,163,351,854,1.98
2014,101,0.49671,0.39789,0.5,269,107,215,504,1.87
2014,102,0.52732,0.41729,0.5,162,68,128,288,1.78
2014,103,0.55776,0.43613,0.5,94,41,74,160,1.7
2014,104,0.58782,0.4543,0.5,53,24,41,86,1.62
2014,105,0.61727,0.47169,0.5,29,14,22,45,1.55
2014,106,0.64591,0.48823,0.5,15,7,12,23,1.49
2014,107,0.67357,0.50387,0.5,8,4,6,11,1.44
2014,108,0.70009,0.51857,0.5,4,2,3,5,1.39
2014,109,0.72535,0.5323,0.5,2,1,1,3,1.36
2014,110,0.74926,1,1.33,1,1,1,1,1.33
