Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
2016,0,0.00247,0.00247,0.14,100000,247,99789,8234295,82.34
2016,1,0.0002,0.0002,0.5,99753,19,99743,8134506,81.55
2016,2,0.00011,0.00011,0.5,99734,11,99728,8034763,80.56
2016,3,0.00008,0.00008,0.5,99723,8,99719,7935035,79.57
2016,4,0.00012,0.00012,0.5,99714,12,99708,7835316,78.58
2016,5,0.00012,0.00012,0.5,99703,12,99697,7735608,77.59
2016,6,0.00013,0.00013,0.5,99691,13,99684,7635911,76.6
2016,7,0.00006,0.00006,0.5,99678,6,99675,7536226,75.61
2016,8,0.00006,0.00006,0.5,99672,6,99669,7436551,74.61
2016,9,0.00004,0.00004,0.5,99666,4,99664,7336882,73.61
2016,10,0.00004,0.00004,0.5,99662,4,99660,7237218,72.62
2016,11,0.00004,0.00004,0.5,99657,4,99655,7137559,71.62
2016,12,0.00008,0.00008,0.5,99653,8,99649,7037904,70.62
2016,13,0.00014,0.00014,0.5,99645,14,99638,6938255,69.63
2016,14,0.0001,0.0001,0.5,99631,10,99626,6838617,68.64
2016,15,0.00011,0.00011,0.5,99621,10,99616,6738991,67.65
2016,16,0.00015,0.00015,0.5,99610,15,99603,6639375,66.65
2016,17,0.00013,0.00013,0.5,99595,13,99588,6539772,65.66
2016,18,0.00032,0.00032,0.5,99582,32,99565,6440184,64.67
2016,19,0.00027,0.00027,0.5,99549,27,99536,6340619,63.69
2016,20,0.00033,0.00033,0.5,99523,33,99506,6241083,62.71
2016,21,0.00035,0.00035,0.5,99490,35,99472,6141576,61.73
2016,22,0.00037,0.00037,0.5,99455,37,99436,6042104,60.75
2016,23,0.00043,0.00043,0.5,99418,43,99396,5942668,59.77
2016,24,0.00041,0.00041,0.5,99375,41,99354,5843271,58.8
2016,25,0.00058,0.00058,0.5,99334,57,99305,5743917,57.82
2016,26,0.00049,0.00049,0.5,99277,48,99253,5644612,56.86
2016,27,0.00048,0.00048,0.5,99228,48,99205,5545359,55.88
2016,28,0.00043,0.00043,0.5,99181,43,99159,5446155,54.91
2016,29,0.0005,0.0005,0.5,99138,49,99113,5346995,53.94
2016,30,0.00057,0.00057,0.5,99088,57,99060,5247882,52.96
2016,31,0.00055,0.00055,0.5,99032,55,99004,5148823,51.99
2016,32,0.00063,0.00063,0.5,98977,62,98946,5049818,51.02
2016,33,0.00059,0.00059,0.5,98915,58,98885,4950873,50.05
2016,34,0.00055,0.00055,0.5,98856,55,98829,4851987,49.08
2016,35,0.00067,0.00067,0.5,98802,66,98769,4753158,48.11
2016,36,0.00061,0.00061,0.5,98736,60,98706,4654390,47.14
2016,37,0.0005,0.0005,0.5,98676,50,98651,4555684,46.17
2016,38,0.00067,0.00067,0.5,98626,66,98594,4457033,45.19
2016,39,0.0008,0.0008,0.5,98561,78,98522,4358439,44.22
2016,40,0.00079,0.00079,0.5,98482,78,98443,4259917,43.26
2016,41,0.00081,0.00081,0.5,98405,80,98365,4161474,42.29
2016,42,0.00093,0.00093,0.5,98325,92,98279,4063109,41.32
2016,43,0.00095,0.00095,0.5,98233,94,98186,3964830,40.36
2016,44,0.00095,0.00095,0.5,98139,93,98093,3866644,39.4
2016,45,0.00107,0.00107,0.5,98046,105,97994,3768551,38.44
