Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
2016,0,0.00357,0.00356,0.14,100000,356,99695,8345974,83.46
2016,1,0.00009,0.00009,0.5,99644,9,99639,8246279,82.76
2016,2,0.00012,0.00012,0.5,99635,12,99629,8146640,81.76
2016,3,0.00006,0.00006,0.5,99623,6,99620,8047011,80.77
2016,4,0.00009,0.00009,0.5,99617,9,99613,7947390,79.78
2016,5,0.00004,0.00004,0.5,99608,4,99606,7847778,78.79
2016,6,0.00006,0.00006,0.5,99604,6,99601,7748172,77.79
2016,7,0.00004,0.00004,0.5,99598,4,99597,7648570,76.79
2016,8,0.00006,0.00006,0.5,99595,6,99592,7548974,75.8
2016,9,0.00006,0.00006,0.5,99589,6,99586,7449382,74.8
2016,10,0.00006,0.00006,0.5,99583,6,99580,7349796,73.81
2016,11,0.00006,0.00006,0.5,99577,6,99573,7250216,72.81
2016,12,0.00008,0.00008,0.5,99570,7,99567,7150643,71.81
2016,13,0.00007,0.00007,0.5,99563,7,99559,7051076,70.82
2016,14,0.00017,0.00017,0.5,99555,17,99547,6951517,69.83
2016,15,0.00013,0.00013,0.5,99538,13,99532,6851970,68.84
2016,16,0.00008,0.00008,0.5,99525,8,99521,6752439,67.85
2016,17,0.00018,0.00018,0.5,99517,18,99508,6652918,66.85
2016,18,0.00023,0.00023,0.5,99499,22,99487,6553410,65.86
2016,19,0.00023,0.00023,0.5,99476,22,99465,6453923,64.88
2016,20,0.00023,0.00023,0.5,99454,23,99442,6354458,63.89
2016,21,0.00025,0.00025,0.5,99430,25,99418,6255016,62.91
2016,22,0.00032,0.00032,0.5,99405,32,99389,6155598,61.92
2016,23,0.00023,0.00023,0.5,99374,23,99362,6056208,60.94
2016,24,0.00046,0.00046,0.5,99350,45,99328,5956846,59.96
2016,25,0.00037,0.00037,0.5,99305,36,99287,5857519,58.99
2016,26,0.00031,0.00031,0.5,99269,31,99253,5758232,58.01
2016,27,0.00033,0.00033,0.5,99237,33,99221,5658979,57.02
2016,28,0.00039,0.00039,0.5,99204,39,99185,5559758,56.04
2016,29,0.00031,0.00031,0.5,99165,31,99150,5460574,55.07
2016,30,0.00027,0.00027,0.5,99134,27,99121,5361424,54.08
2016,31,0.00046,0.00046,0.5,99107,45,99084,5262303,53.1
2016,32,0.00033,0.00033,0.5,99062,33,99046,5163219,52.12
2016,33,0.00036,0.00036,0.5,99029,36,99011,5064173,51.14
2016,34,0.00045,0.00045,0.5,98993,45,98971,4965162,50.16
2016,35,0.00048,0.00048,0.5,98949,48,98925,4866191,49.18
2016,36,0.00046,0.00046,0.5,98901,45,98879,4767266,48.2
2016,37,0.00049,0.00049,0.5,98856,49,98832,4668387,47.22
2016,38,0.00056,0.00056,0.5,98807,56,98779,4569556,46.25
2016,39,0.00052,0.00052,0.5,98752,52,98726,4470776,45.27
2016,40,0.0007,0.0007,0.5,98700,69,98666,4372050,44.3
2016,41,0.00076,0.00076,0.5,98631,75,98594,4273385,43.33
2016,42,0.00088,0.00087,0.5,98557,86,98514,4174791,42.36
2016,43,0.00078,0.00078,0.5,98470,77,98432,4076277,41.4
2016,44,0.00097,0.00097,0.5,98394,96,98346,3977845,40.43
2016,45,0.00104,0.00104,0.5,98298,102,98247,3879499,39.47
2016,46,0.00106,0.00106,0.5,98196,104,98145,3781252,38.51
2016,47,0.00152,0.00152,0.5,98093,149,98018,3683107,37.55
2016,48,0.0013,0.0013,0.5,97944,127,97880,3585089,36.6
2016,49,0.00152,0.00152,0.5,97817,149,97742,3487209,35.65
2016,50,0.00193,0.00192,0.5,97668,188,97574,3389466,34.7
2016,51,0.00179,0.00179,0.5,97480,174,97393,3291893,33.77
2016,52,0.00211,0.00211,0.5,97305,205,97203,3194500,32.83
2016,53,0.00262,0.00262,0.5,97100,254,96973,3097297,31.9
2016,54,0.00275,0.00275,0.5,96846,266,96713,3000324,30.98
2016,55,0.00301,0.003,0.5,96580,290,96435,2903611,30.06
2016,56,0.0033,0.0033,0.5,96290,317,96132,2807175,29.15
2016,57,0.00387,0.00386,0.5,95973,371,95788,2711044,28.25
2016,58,0.00363,0.00363,0.5,95602,347,95429,2615256,27.36
2016,59,0.00442,0.00441,0.5,95256,420,95046,2519827,26.45
2016,60,0.00481,0.0048,0.5,94836,455,94608,2424781,25.57
2016,61,0.0053,0.00529,0.5,94380,499,94131,2330173,24.69
2016,62,0.0061,0.00608,0.5,93881,571,93596,2236042,23.82
2016,63,0.00617,0.00615,0.5,93311,574,93024,2142446,22.96
2016,64,0.00756,0.00753,0.5,92737,698,92388,2049423,22.1
2016,65,0.00826,0.00822,0.5,92038,757,91660,1957035,21.26
2016,66,0.00887,0.00883,0.5,91282,806,90878,1865375,20.44
2016,67,0.00985,0.00981,0.5,90475,887,90032,1774497,19.61
2016,68,0.00981,0.00976,0.5,89588,874,89151,1684465,18.8
2016,69,0.01098,0.01092,0.5,88714,968,88229,1595314,17.98
2016,70,0.01181,0.01174,0.5,87745,1030,87230,1507085,17.18
2016,71,0.01396,0.01386,0.5,86715,1202,86114,1419854,16.37
2016,72,0.01551,0.01539,0.5,85513,1316,84855,1333740,15.6
2016,73,0.01614,0.01601,0.5,84197,1348,83523,1248885,14.83
2016,74,0.01783,0.01768,0.5,82849,1464,82117,1165361,14.07
2016,75,0.02019,0.01999,0.5,81385,1627,80571,1083244,13.31
2016,76,0.02296,0.0227,0.5,79758,1810,78853,1002673,12.57
2016,77,0.02461,0.02431,0.5,77948,1895,77000,923820,11.85
2016,78,0.0272,0.02683,0.5,76053,2041,75032,846820,11.13
2016,79,0.03172,0.03122,0.5,74012,2311,72857,771787,10.43
2016,80,0.03868,0.03794,0.5,71701,2720,70341,698930,9.75
2016,81,0.0416,0.04076,0.5,68981,2811,67575,628589,9.11
2016,82,0.04926,0.04808,0.5,66170,3181,64579,561014,8.48
2016,83,0.05582,0.0543,0.5,62988,3420,61278,496435,7.88
2016,84,0.06539,0.06332,0.5,59568,3772,57682,435157,7.31
2016,85,0.07409,0.07144,0.5,55796,3986,53803,377475,6.77
2016,86,0.08544,0.08194,0.5,51810,4245,49687,323672,6.25
2016,87,0.09979,0.09505,0.5,47565,4521,45304,273985,5.76
2016,88,0.11057,0.10478,0.5,43044,4510,40789,228680,5.31
2016,89,0.13267,0.12442,0.5,38534,4794,36137,187892,4.88
2016,90,0.14945,0.13905,0.5,33740,4692,31394,151755,4.5
2016,91,0.16647,0.15368,0.5,29048,4464,26816,120361,4.14
2016,92,0.19298,0.17599,0.5,24584,4327,22421,93545,3.81
