Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
2016,0,0.00387,0.00386,0.14,100000,386,99669,8103820,81.04
2016,1,0.00028,0.00028,0.5,99614,27,99601,8004152,80.35
2016,2,0.00016,0.00016,0.5,99587,16,99579,7904551,79.37
2016,3,0.00011,0.00011,0.5,99571,11,99566,7804972,78.39
2016,4,0.00009,0.00009,0.5,99560,9,99556,7705406,77.39
2016,5,0.00009,0.00009,0.5,99552,9,99547,7605850,76.4
2016,6,0.00007,0.00007,0.5,99543,7,99539,7506303,75.41
2016,7,0.00007,0.00007,0.5,99536,6,99532,7406764,74.41
2016,8,0.00005,0.00005,0.5,99529,5,99527,7307231,73.42
2016,9,0.00007,0.00007,0.5,99524,7,99521,7207705,72.42
2016,10,0.00007,0.00007,0.5,99517,7,99514,7108184,71.43
2016,11,0.00008,0.00008,0.5,99510,8,99506,7008670,70.43
2016,12,0.00008,0.00008,0.5,99502,8,99498,6909164,69.44
2016,13,0.00009,0.00009,0.5,99494,9,99490,6809666,68.44
2016,14,0.00013,0.00013,0.5,99485,13,99479,6710176,67.45
2016,15,0.00014,0.00014,0.5,99472,14,99465,6610697,66.46
2016,16,0.00019,0.00019,0.5,99459,19,99449,6511232,65.47
2016,17,0.00023,0.00023,0.5,99440,22,99428,6411783,64.48
2016,18,0.00031,0.00031,0.5,99417,31,99402,6312354,63.49
2016,19,0.00032,0.00032,0.5,99386,32,99370,6212953,62.51
2016,20,0.00036,0.00036,0.5,99354,36,99336,6113582,61.53
2016,21,0.0004,0.0004,0.5,99318,40,99298,6014246,60.56
2016,22,0.00038,0.00038,0.5,99278,38,99259,5914948,59.58
2016,23,0.0004,0.0004,0.5,99240,40,99220,5815689,58.6
2016,24,0.00042,0.00042,0.5,99200,42,99179,5716469,57.63
2016,25,0.00045,0.00045,0.5,99158,44,99136,5617290,56.65
2016,26,0.00046,0.00046,0.5,99114,46,99091,5518154,55.67
2016,27,0.00047,0.00047,0.5,99068,47,99045,5419062,54.7
2016,28,0.00053,0.00053,0.5,99022,53,98995,5320018,53.73
2016,29,0.00054,0.00054,0.5,98969,54,98942,5221022,52.75
2016,30,0.00059,0.00059,0.5,98915,59,98886,5122080,51.78
2016,31,0.00063,0.00063,0.5,98857,62,98826,5023194,50.81
2016,32,0.00073,0.00073,0.5,98795,72,98759,4924369,49.84
2016,33,0.00072,0.00072,0.5,98723,71,98687,4825610,48.88
