Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
2016,0,0.00585,0.00582,0.14,100000,582,99498,7890526,78.91
2016,1,0.00039,0.00039,0.5,99418,39,99399,7791027,78.37
2016,2,0.00026,0.00026,0.5,99379,26,99366,7691629,77.4
2016,3,0.0002,0.0002,0.5,99353,20,99343,7592262,76.42
2016,4,0.00016,0.00016,0.5,99334,16,99326,7492919,75.43
2016,5,0.00014,0.00014,0.5,99318,13,99311,7393593,74.44
2016,6,0.00012,0.00012,0.5,99304,12,99298,7294283,73.45
2016,7,0.00013,0.00013,0.5,99292,13,99286,7194985,72.46
2016,8,0.00012,0.00012,0.5,99280,12,99274,7095699,71.47
2016,9,0.00011,0.00011,0.5,99268,11,99262,6996425,70.48
2016,10,0.00011,0.00011,0.5,99257,11,99251,6897163,69.49
2016,11,0.00012,0.00012,0.5,99246,12,99240,6797911,68.5
2016,12,0.00013,0.00013,0.5,99234,13,99227,6698671,67.5
2016,13,0.00016,0.00016,0.5,99221,16,99213,6599444,66.51
2016,14,0.00021,0.00021,0.5,99205,21,99195,6500231,65.52
2016,15,0.00028,0.00028,0.5,99185,28,99171,6401036,64.54
2016,16,0.00037,0.00037,0.5,99157,37,99138,6301865,63.55
2016,17,0.00049,0.00049,0.5,99120,48,99096,6202727,62.58
2016,18,0.00067,0.00067,0.5,99072,66,99039,6103631,61.61
2016,19,0.00075,0.00075,0.5,99006,74,98969,6004592,60.65
2016,20,0.00082,0.00082,0.5,98931,81,98891,5905624,59.69
2016,21,0.00095,0.00095,0.5,98851,94,98804,5806733,58.74
2016,22,0.00098,0.00098,0.5,98757,97,98708,5707929,57.8
2016,23,0.00103,0.00103,0.5,98660,102,98609,5609221,56.85
2016,24,0.00106,0.00106,0.5,98558,105,98505,5510612,55.91
2016,25,0.00112,0.00112,0.5,98453,110,98398,5412107,54.97
2016,26,0.00112,0.00111,0.5,98343,110,98288,5313709,54.03
2016,27,0.00119,0.00119,0.5,98233,117,98175,5215421,53.09
